task_id,answer,correct_answer
73,"Маша нашла мою зарядку, а твою _зарядку_ она пока не нашла.",зарядку
74,На кухне _стоит холодильник_.,холодильник стоит
75,разбивает стакан,каждый год разбивает стакан
76,Он читает _ посты про Индию и Пакистан в свободное время.,он читает в свободное время
77,"а история олова в Андах, откуда происходит бронза Нового Света, — [неразрывно связана] с озером Титикака.",неразрывно связана
78,Вика _ хочет идти в кино.,хочет идти в кино
79,"Петя любит Нину, а Ваня _нет.",не любит Нину
80,пригласил танцевать,пригласил танцевать
81,,следует
82,"Конечно, он был воткнут преднамеренно, только зачем он был воткнут преднамеренно?",он был воткнут
83,Конечно нет _[я не успел устать]_..,я не успел устать
84,"Они могут бегать быстрее, чем я могу бегать.",могу бегать
85,Он учится __ в МГУ.,он учится
86,"про нас с _кем-то_, ну, ты понимаешь",не говорил
87,Петя будет в офисе завтра до ___ семи часов.,Петя будет в офисе завтра
88,чем,руки
89,почему маэстро попросил солиста сыграть какие-то безумные штрихи — все наоборот,Бернстайн попросил солиста сыграть какие-то безумные штрихи
90,"Маша разрешила себе поесть мороженого, поэтому Даша тоже разрешила себе поесть мороженого.",разрешила себе поесть мороженого
91,Сейчас не смогу помочь.,тебе помочь
92,"Печать на бумаге формата A4 выполняется со скоростью до 38 стр./мин., а _ на бумаге формата Letter — до 40 стр./мин..",выполняется со скоростью до
93,"Кто ж обижает-то?  Как кто [обижает]?.. Известно, начальство, власти….",обижает
94,"Одна из них предназначена для взаимодействия с корпусом, а другая _предназначена для взаимодействия_ с дифференциальным винтом.",предназначена для взаимодействия
95,что _мне вчера снилось_,мне снилось
96,потому что это,делать хим завивку
97,заходить в дом,заходить в дом
98,за кого будет использован административный ресурс,административный ресурс будет использован на всю катушку
99,"Я очень хочу всё высказать, но не стану _высказывать всё_.",высказывать
