task_id,answer,correct_answer
89,мощность устройства,"означает, мощность"
90,товарным знаком компании WacomCo.,является
91,"вражеского танка состоял из трех ящеров, а экипаж «шермана» — из пяти человек.",состоял
92,вежеталь,напоминал
93,"объем инвестиций в основной капитал и объем подрядных работ, выполненных строительными организациями",вырос
94,"группы G в кольце A(SrxSr),","отображение, является"
95,разбита,разбита
96,"Справа стояли вооруженные молодые люди, слева — женщины и дети, которые были беззащитны.",стояли
97,"взрослого человека, который должен заботиться о семье,",превратилась
98,отмечены нечетными числами.,отмечены
99,красота,соседствует
100,"что-то, а потом – я сделаю тебе что-то",делаю
101,предназначена для взаимодействия с механизмом управления,предназначена для взаимодействия
102,кассир был вооружен винтовкой,был вооружен
103,длинная,граница
104,"новую музыку, но я ещё слушаю старую музыку.",музыку
105,день рождения в июне,день рождения в июне
106,бассейн.,бассейн
107,школьные учебники,своей дочери школьные учебники
108,а,его кинетическую энергию
109,но все равно,Крымова
110,"по математике, которую он тоже хотел купить",книгу по математике
111,"Саша прочитал мою статью, а Дима прочитал твою статью.",статью
112,зайца,зайца
113,я задал ей два вопроса,вопроса
114,его,телевизор
115,купил кофту,кофту
116,надежную,машину
117,литературу,литературу
118,город,город
119,деньги,деньги
120,но пока не пробовала _ассорти круп_,ассорти круп
121,чайник с водой,чай
122,подарок,подарок
123,будильник,будильник
124,не предупредила сестру об этом.,сестру
125,порвал его,постер
126,попытки поймать муху,муху
127,часть картины.,картину
128,их,"яблоки, яблоки"
129,что из-за этого его ответ оказался неверным.,задачу
130,полуфабрикаты,полуфабрикаты
131,студентам демоверсии,демоверсии
132,конфеты одноклассникам в день рождения,конфеты одноклассникам
133,контрольные работы,контрольные работы
134,игрушку,игрушку
135,расстроился,экзамен
136,что она написала его хорошо,текст
137,ее,книгу
138,не успел его отправить вовремя,письмо
139,"домашнее задание, которое она дала на прошлой неделе, и все обещали его сделать,",домашнее задание
140,утром.,пирог
141,не смогла его взять с собой,альбом
142,его,фильм
143,где мы их положили,билеты
144,их.,ключи
145,"встречу, которую организовал Петя",встречу
146,свою старую машину,машину
147,стих-поздравление Пете,стих-поздравление
148,машину,машину
149,платье,платье
150,в качестве учёного,ученым
151,макароны.,макароны
152,машинку.,машинку
153,платья,платья
154,гитаре,гитаре
155,Я только начал(а) её читать и мне очень интересно.,книгу «Пиранези» Сюзанны Кларк
156,"пропустили два колеса и руль, а так велик в комплекте!",велик
157,телефон,телефон
158,твою зарядку,зарядку
159,разрешение,разрешение
160,зонты,зонты
161,"все чашки, которые принадлежат тебе",чашку
162,дома,дома
163,пейзаж,пейзаж
164,"Её работу взяли на выставку, а мою _ работу продали на аукционе.",работу
165,пять полотен,полотен
166,вход на временную экспозицию,экспозицию
167,альбом,альбом
168,"тупогубый бык, и Бурёнка тоже (тупогубый бык).",корова
169,"Бурёнка корова, и Тупогуб тоже (является коровой).",бык
170,дежурная,дежурная
171,должен быть дежурным,дежурный
172,адвокат,адвокат
173,тупица,тупица
174,"Правая рука сильнее, чем левая рука.",руки
175,мировой войны,мировой войны
176,в спальне,окна
177,твою статью,статью
178,тарелок супа,тарелку супа
179,коровы,коровы
180,эссе,эссе
181,хороший,цвет
182,двенадцать параметров,параметров
183,сестры,сестры
184,"это может быть интерпретировано по-разному, и это может привести к недопониманию.",стороны
185,сто первое собеседование,собеседование
186,собака,собака
187,пока скачается программа,минут
188,мегабайтов,мегабайтов
189,часов,часов
190,гвозди,"гвозди, гвозди"
191,"Ты взял четыре чашки, а нужно было взять пять чашек.","чашки, чашек"
192,доктор,доктор
193,в офисе,этаже
194,одежду,одежду
195,его.,стихотворение
196,"Маша поймала _собаку_, а Петя погладил собаку.",собаку
197,овощи.,овощи
198,"что Альберт написал, а Кирилл проверил код.",код
199,вазa,вазу
200,его,Еремина
201,посылка,посылку
202,задания,задания
203,"в списывании, а Маша Семёнова не призналась в списывании.",в списывании
204,"Я не хотел _ идти в кино, но вчера мы ходили в кино.",ходить в кино
205,вы не можете ответить на мой вопрос,ответить
206,"Я не готовлю так хорошо, как ты готовишь.",готовишь
207,"Я не умею готовить так хорошо, как ты умеешь готовить.",умеешь готовить
208,тоже не люблю,не люблю
209,могу бегать,могу бегать
210,это сделать,нарушить закон
211,"путешествовать по Украине, но сейчас не можем _из-за финансовых трудностей_.",путешествовать по Украине
212,пойти на озеро с ними,пойти на озеро
213,"Я не ем столько, сколько он ест.",ест
214,знает о своей стране,знает о своей стране
215,хочу в кино,не хочу в кино
216,провести время вместе и насладиться атмосферой.,прийти сюда
217,не делают домашки,не делают домашки
218,что именно это было,мне снилось
219,живет в Новгороде,живет в Новгороде
220,разбивает стакан,каждый год разбивает стакан
221,видеть без очков,видеть без очков
222,ненавидишь Марка,ненавидишь Марка
223,"Я ненавижу тебя так же, как и Марка.",ненавижу
224,Мы здесь сошлись для обсуждения важных вопросов.,"сошлись, сошлись"
225,Не будем больше _играть_..,играть
226,"поменять лампочку до того, как стемнеет",поменять лампочку
227,задал ему три вопроса,задал ему три вопроса.
228,помогаешь ему мыть пол,помоги
229,в первый раз там попробовал сало,в первый раз там попробовал сало
230,любят смотреть слонов,любят смотреть слонов
231,не успел это сделать,убрать комнату
232,трудно,очень трудно достать машину в России
233,хочет кофе,хочет кофе
234,Сережа,читать эту лекцию
235,делать,делать это домашнее задание
236,ехать в Москву.,ехать в Москву
237,помогать.,"я, помогать"
238,плавать,плавать
239,что именно мы сможем увидеть или понять благодаря визуализации,посмотрим
240,наругать Машу.,наругать Машу
241,вести себя хорошо,вести себя хорошо
242,вдохновил себя на новые свершения,вдохновил себя на новые свершения
243,потому что они не уделили достаточно времени работе над проектом и не смогли реализовать все необходимые функции.,критикует себя
244,сравнивает себя с другими людьми,постоянно сравнивает себя с другими людьми
245,убеждает себя бросить курить,убеждает себя бросить курить
246,уважает себя,уважает себя
247,заметила себя на фотографии,сразу заметила себя на фотографии
248,развлекала себя вопросами.,развлекала себя вопросами
249,винит себя в произошедшем,винит себя в произошедшем
250,разрешила себе поесть мороженого,разрешила себе поесть мороженого
251,обманул свою сестру.,обманул свою сестру
252,сомневается в своей победе,сомневается в своей победе
253,учил свою сестру кататься на лыжах,учил свою сестру кататься на лыжах
254,похвалит свою работу,похвалит свою работу
255,ударил свою сестру.,в шутку ударил свою сестру
256,успокоит своего брата,успокоит своего брата
257,ненавидит свой номер в отеле,ненавидит свой номер в отеле
258,напомнила свою почту.,напомнила свою почту
259,одевается странно.,сегодня смутит свою жену
260,помогает своей пожилой соседке,помогает своей пожилой соседке
261,помыл часть своей посуды.,"выполнять, помыл часть своей посуды"
262,поступил в университет,поступил в университет
263,играть в Вархаммер,играть в Вархаммер
264,"Я сижу на Терра Хоминис, как и Рина, _сидит на Терра Хоминис_.",сидит на Терра Хоминис
265,вы разве не хотели стать космонавтом?,стать космонавтом
266,отчислиться от университета,завести собаку (отчислиться)
267,"июне, как я и планировал.",я переехал в июне
268,уедешь на скорой помощи,уехал на скорой
269,другие ребята,начали курить
270,привлечение их авторитета для установления более добрососедских отношений,привлечь их авторитет для установления более добрососедских отношений
271,высказывать свои мысли и чувства,высказывать
272,"вспомнить имя того человека, с которым он познакомился на вечеринке",вспомнить имя того человека
273,позвать кого-то на помощь,позвать на помощь
274,это делать в данный момент,заходить в дом
275,"все это (материалы, образцы, данные и т.д.)",собираешь все это
276,служить в армии,служить в армии
277,чихнула,чихнула во время урока
278,не едят рыбу,не едят рыбу
279,"в отличие от других стран, где власти активно поддерживают рыночные механизмы.",помогать «рыночному саморегулированию»
280,мы могли бы потерять гораздо больше,потерять
281,и гостей,"нарисовать, рисовать"
282,как в школе научили нас чертить.,чертить
283,работать,работать
284,так и будем класть кирпичи,класть кирпичи
285,что именно обсуждали развод Ильиных,обсуждать развод Ильиных
286,читает,читает
287,мы приложили больше усилий и работали над подготовкой,взять первое место
288,как считает нужным (это делать),готовить сырники
289,видел этот фильм.,видел этот фильм
290,умеет петь,умеет петь
291,уходить с этой вечеринки,уйти
292,"все делали хим завивку, потому что это было популярно среди молодежи.",делать хим завивку
293,переживала по этому поводу,переживала по этому поводу
294,сломался,сломался
295,читать книги.,читать
296,считает интегралы,считает интегралы
297,сделать макет для проекта,делать макет
298,фильм,смотреть
299,что я его купил,купить хлеб
300,посуду,"помыл, не помыл"
301,в данный момент,тебе помочь
302,"Он хотел уйти, но не решился _покинуть компанию_.",уйти
303,понять её,понять сегодняшнюю тему по математике
304,быть хорошим студентом,быть хорошим студентом
305,прыгать первым,прыгать первым
306,"Нет, забыл разморозить ее.",разморозить курицу
307,рождён для великих дел,рождён для великих дел
308,Я должен Мише позвонить или ты должен Мише позвонить?,должен Мише позвонить
309,попросила остаться,попросил Мишу остаться
310,поедет в Петербург,поедет в Санкт-Петербург.
311,тоже позвали,"Вика, позвала гулять"
312,хорошо говорит по-немецки,хорошо говорит по-немецки
313,уехала из своей страны в молодом возрасте,уехала из своей страны в молодом возрасте
314,встретили в магазине,встретили в магазине
315,не позвал Любу в кино,не позвал Любу в кино
316,бегают,кошки бегают
317,эту песню.,эту песню
318,петь эту песню,петь эту песню
319,есть кашу,есть кашу
320,город,город человек описывает
321,почему она мне нравится.,мне нравится эта песня
322,"неизвестно, каким оружием или способом",она убила его
323,почему он решил сделать мне этот подарок,незнакомый вручил мне подарок
324,"она встала и ушла, а её парень не знал, почему _ она приняла такое решение.",она встала и ушла
325,что именно купили,купили на рынке
326,в какую страну или город.,хочу поехать
327,"почему его убили, какие были причины или обстоятельства, приведшие к этому.",его убили
328,откуда он его взял или как он его приобрел,он говорит с иностранным акцентом
329,мне всё равно во сколько именно это произойдет,он вернет мою книгу сегодня
330,он это сделал,он починил мою машину
331,Почему Иван прыгнул в колодец?,Иван прыгнул в колодец
332,когда именно мы пойдём в бар,сегодня пойдём в бар
333,они собираются его подарить,они купили надувной замок
334,над кем именно они смеются,они смеются
335,"Миша знает, почему Иван улыбается.",Иван улыбается
336,"не знаю, почему он так поступил",он вдруг бросился и больно укусил мне палец
337,что-нибудь в руку,берут в таких случаях что-нибудь в руку
338,из чего она сделана,тряпка была
339,"А чтоб истина скорей воссияла, вот зачем упразднять.",упразднять
340,"время, когда он должен был прийти",Дмитрия же не застанет еще вернее
341,в чем именно он уверен,был почти уверен в этом
342,"он не хотел его беспокоить или думал, что это не имеет смысла",преследовать и звать его он не захотел
343,Не будете больше играть _ в эту игру.,не будете больше играть
344,потому что это больше не интересно,не будем больше играть
345,"Я не знаю, от кого же это известие.",я знал что он повесился
346,я узнал эту информацию,я знал что он повесился
347,"Как он убит, чем и как именно?","убит, убит"
348,"он это сделал, используя нож.",убил Смердяков
349,меня за что-то,"взяли меня и высекли, взяли меня и высекли"
350,она его любит,она его любит
351,"к кому-то, с кем ты хорошо проводил время",ты поехал
352,"это было связано с её чувствами к нему и тем, как она могла бы выразить их.",было не додумано еще
353,за что именно они нападают на Анну,они нападают на Анну
354,"Я страдаю, ты страдаешь. За что _ мы страдаем?",мы страдаем
355,"он не мог понять, что именно это было.",совершалось
356,где находится это кафе,"Иван, Иван нашёл хорошее кафе"
357,кому именно мы могли бы помочь.,мы бы хотели помогать
358,какую именно рыбу он поймал,рыбу наш брат поймал из речки
359,чем мы можем заплатить?,мы можем здесь платить
360,сколько времени,им надо ждать
361,кто именно это сделал,съел все печенья
362,что именно это было.,Марина увидела
363,где-то,Митя будет праздновать день рождения
364,Когда именно он придет?,придет Вова
365,что именно,видела Марина
366,Маша кому-то (кому именно) что-то (что именно) подарила.,Маша подарила
367,пел и что именно он пел,пел
368,что именно он купил,Иван купил
369,с кем именно они дрались,дрались дети
370,кого-то пригласил,пригласил танцевать
371,"с кем я проводил время, с кем общался, с кем делил свои мысли и переживания",жил
372,"что происходило на уроке, какие темы обсуждались, какие задания выполнялись",задавал вопросы
373,суметь понять или почувствовать глубину,сумел бы
374,предложение,будет писать ему предложение для сочинения
375,что именно,купил Витя
376,где будет проходить банкет.,будет организовыван банкет
377,по какой причине его пригласили или какую тему он должен будет обсудить.,будет выступать на собрании
378,К кому ж мы пойдем? Как к кому (мы пойдем)?.. Там у меня тетка (живет)….,мы пойдем
379,которого можно привлечь к ответственности,штрафовать
380,"Начальство, власти обижают людей.",обижает
381,они не видят смысла в учебе и не получают удовлетворения от процесса.,у них напрочь пропадает желание учиться и посещать школу
382,потому что он стар и его зовут Леонард Бернстайн,Бернстайн попросил солиста сыграть какие-то безумные штрихи
383,не знаю уж почему он стал менее заинтересованным в общении со мной.,Рафик потерял ко мне интерес
384,что ей жалко потраченных денег,она мрачнее тучи
385,вы так спешите и не обращаете внимания на детали,вы несколько торопитесь
386,почему он так реагировал на эти события,"то, что произошло, действительно задевало его за живое"
387,с ними пообщаться,мне захотелось увидеться с ребятами из нашего класса
388,"он пел, и он прислушивался к пению других",мне все это казалось нелепым и ненужным
389,я узнал это от своего друга.,я это узнал
390,это утверждение не учитывает некоторые важные аспекты.,это не совсем так
391,"потому что я не знаю, как он ко мне относится",он меня недолюбливает
392,гари,победили Homo
393,читал художественную литературу,"художественной литературы читал намного больше чем сейчас, художественной литературы читали намного больше чем сейчас, художественную литературу читали намного больше чем сейчас, художественной литературы читали намного больше чем сейчас"
394,"выводил ли он деньги за границу на протяжении 90-х — и если да, то в каких количествах, и если нет, то почему он этого не делал.",выводил Ходорковский деньги за границу на протяжении 90-х
395,"она была заинтересована в его увлечении и хотела понять, что его вдохновляет.",он занимается фотографией
396,потому что наблюдается снижение покупательской способности населения и рост цен на товары.,в целом по году розница может свалиться на 8.5-9 процентов
397,он идет и зачем он это делает,идет
398,"тебя зовут в кабак, а ты еще спрашиваешь, зачем (тебя зовут в кабак)",тебя зовут в кабак
399,это действие было частью какого-то плана или замысла.,он был воткнут
400,это было нужно,пришел
401,"кто именно это сделал, в какой момент времени это произошло, и с какой целью.","взломал мой пароль, взломал мой пароль"
402,"куда именно ей нужно было бежать, чтобы избавиться от тревоги.",бежать
403,за кандидата на выборах,административный ресурс будет использован на всю катушку
404,это делать.,ему зарабатывать деньги
405,это необходимо для обеспечения равноправия и учета интересов всех граждан.,в правительстве обязательно должна быть женщина
406,каким именно ребенком они собираются поехать.,ребенком из детского дома она собирается в Россию
407,это делать правильно и эффективно.,надо страховать крупные наши фирмы
408,"потому что у меня день рождения, годовщина свадьбы, юбилей работы и юбилей друга.",у меня сразу четыре юбилея в этом году
409,где именно это было,видел
410,я его хочу,мне золото
411,кем-то,рифмуется многое в жизни
412,"он не знал, зачем ему нужен парабеллум, когда он уходил на работу.",Костя брал с собой парабеллум всякий раз уходя на работу в тоннель
413,"эмоциональный подъем, который наполняет меня радостью и энергией.",чувствую эмоциональный подъем
414,"потому что мне кажется, что он меня недолюбливает.",он меня недолюбливает
415,с кем он был,я видел неделю назад нашего хлопчика в красном платье
416,"у нас теперь тренер есть, угадай, кто именно наш новый тренер!",у нас тренер
417,Кто именно курирует его?,курирует Михаила Афанасьевича
418,с кем мы едем,мы с тобой едем
419,какие именно последствия могут возникнуть в результате его действий или решений.,могут быть последствия
420,не приехал,не приехал
421,с Петей ты не поговорил.,"поговорил, я не поговорил"
422,не хочу поехать,"я, не хочу"
423,"обрадовался, потому что он ждал его прихода.",не обрадовался
424,не видел её.,не видел
425,расцениваются как возможности,не расцениваются как возможность
426,"может быть, она и милая, но вот предмет (колючий друг) — нет.",не милый
427,что именно включать,не включать
428,"Если мы вдвоем, то нет (мы не говорим по-французски).",не говорим между собой по-французски
429,отвечать на телефонные звонки,не отвечаю на телефонные звонки
430,не почувствуем,не почувствуем
431,не любит есть суши,не любит есть суши
432,не заряжена,не заряжена
433,при какой температуре на какой дистанции нельзя проводить гонки,нельзя проводить гонки
434,не хочет,не хочет
435,не связан с ним,не связан с культурным и духовным наследием страны
436,или обращаются к врачам за консультацией,не в группе риска
437,"узнать,",не люблю
438,"независимо от его вины и от того, состоял потерпевший с ним в договорных отношениях или нет",не состоял с ним в договорных отношениях
439,нет.,не устроит меня такая степень приближения
440,нет.,не стоит
441,дадут они денег или нет,не дадут
442,не будем заниматься этим вопросом,не будем мы заниматься этим вопросом
443,не надо делать этот шаг.,не надо делать этот шаг
444,Он берется делать операцию.,не берется делать операцию
445,нет.,не встретит ее Саша
446,в венерических болезнях,не вижу в венерических болезнях какой-то моральный смысл
447,мы не готовы раскрыть структуры собственности нашего предприятия.,мы не готовы раскрыть структуры собственности нашего предприятия
448,не могут быть изменены или устранены,не дано
449,"Я имею в виду, что многие люди не любят оперы в концертном исполнении.",вы не любите оперы в концертном исполнении
450,нет.,не стартовать в Москве
451,"наши отношения, о том, что между нами происходит",не говорил
452,не умеет играть на гитаре,не умеет играть на гитаре
453,не любит мороженое,не любит мороженое
454,не будет солнечно,не было солнечно
455,Я не пойду на концерт.,не пойду на концерт
456,Вика хочет идти в кино.,хочет идти в кино
457,"да, будешь отвечать по-человечески",не будешь ты отвечать по-человечески
458,нет,не поверил
459,либо у тебя нет данных,данных
460,"Да, я пойду в кино.",я пойду в кино
461,Он еще не пришел.,он еще не пришел
462,"Да, я видел этот фильм.",я видел этот фильм
463,"Да, я сделал домашку.",я сделал домашку
464,Я не хочу чай.,я не хочу чай
465,"Наверное, да, они придут.",они придут завтра
466,"Конечно, нет, я не забыл ключи!",я не забыл ключи
467,"Да, мне понравился фильм.",мне понравился фильм
468,"Нет, я не против.",я не против если ты возьмешь мою ручку
469,Петя еще не уехал.,Петя не уезжает
470,"Да, я уверен, что это правильно.",уверен что правильно
471,"Никто не звонил, кроме тебя?",никто не звонил
472,не посоветовался,"посоветовался, не посоветовался"
473,"Я гулял, а Петя не гулял.",не гулял
474,снимал Сидорова,не снимал Сидорова часто
475,испекли кексы по рецепту,"не испекла кексы по рецепту, испекли кексы по рецепту"
476,"Петр Степанович не проверяет, а остальные (преподаватели) да.","нашу домашку, проверяют нашу домашку"
477,шутят,шутят на занятиях несмешно
478,что он делает это вместо объяснения материала,не может так быть что Максим Юрьевич любит травить анекдоты во время занятий
479,"ведет себя плохо, ведет себя плохо","не ведет себя плохо, ведет себя плохо"
480,считает тебя дураком,"не считаю вас дураком, считает вас дураком"
481,"Да, я пойдёшь в кино.",пойду в кино
482,Я еще не сдал экзамен.,не сдал экзамен
483,не сделал её,не сделал домашку
484,"Да, я буду на вечеринке.",буду на вечеринке
485,"Петя пришел, а Вася не пришел.",не пришел
486,"я не думаю, что оно мне идет",не считаю что вам подходит это платье
487,Уже нашли вора? Или (вы) еще (не нашли вора)?,не нашли вора
488,дошло,письмо не дошло
489,они могут позвать Петю.,не могут позвать
490,Коля не придет на встречу.,не придет
491,"Нет, не люблю музыку.",не люблю музыку
492,пойдет в кино.,пойдет в кино
493,Я ещё не поужинал.,не поужинал
494,"нет, я не буду есть обед.",не буду есть обед
495,нет.,не хочу чаю
496,я не использую эмодзи при общении с начальством.,не использую эмодзи при общении с начальством
497,я не успел устать,я не успел устать
498,"Ни в коем случае нет, я не поддерживаю их!",я их не поддерживаю
499,"Ты был в Париже? — К сожалению, нет, я никогда не был там.",я не был в Париже
500,я не верю ему.,я ему не верю
501,Я ещё не закончил свою работу.,не закончил
502,"либо представление, либо протест в зависимости от того, согласны ли они с нашими предложениями.",не соглашаются
503,"На самом деле, вероятность встретить свободно разгуливающего по улице динозавра равна нулю, ибо их нет в живых, к сожалению.",не встретишь
504,это не удовлетворяет твоим финансовым параметрам,не удовлетворяет твоим финансовым параметрам
505,"Роли мне либо нравятся, либо нет, но я стараюсь извлекать из них уроки.",не нравятся
506,я не сотрудничаю с вами,не сотрудничаю с вами
507,договор,не подписываем
508,"и ты не знаешь, как это повлияет на твои планы.",не случится
509,да,не пускать
510,не перерегистрируются,не перерегистрируются
511,"о том, как эти формы влияют на общественное сознание и восприятие искусства,",не будут нести огромную благотворную службу
512,не играешь в футбол,не играешь в футбол
513,не любит Нину.,не любит Нину
514,"всё оказалось гораздо сложнее, чем ты ожидал.",не будет
515,всё только начинается.,не закончилось
516,Волга не впадает в Каспийское море.,"не впадает в Каспийское море, впадает в Каспийское море"
517,"Если честно, то нет, я не собираюсь доделывать проект.",не собираюсь доделывать проект
518,"Мы все надеемся, что Ваня успеет на поезд.",Ваня успеет на поезд
519,нет.,не получается включить программу
520,я не знаю пароля.,не знаю пароль от вайфая
521,заходил в HR-отдел,заходил в HR-отдел
522,Оля прочитала книгу или Таня прочитала книгу?,прочитала книгу
523,нарисовал картину,нарисовал картину
524,Юра забил гол или забил его Слава?,забил гол
525,"прочитал «Войну и мир», а она прочитала «Мастера и Маргариту»",прочитала
526,Что делают Ира и Настя? _,Ира и Настя
527,Что купил Иван? _,Иван купил
528,"магазин, чтобы купить продукты",Я собираюсь пойти
529,Желтые листья.,листья упали с деревьев осенью
530,Я был занят _ на работе.,Я не пришел потому что
531,окно,Он сюда попал
532,это этаж,этаж
533,где именно,они живут
534,урок начинается,урок начинается
535,Что она купила? Новое платье _ для вечеринки.,она купила
536,"Кому он звонит? Мише, своему другу.",он звонит
537,"На поезде, который отправляется в 10 утра.",они поедут
538,встретимся,мы встретимся
539,"из-за того, что она считает, что камера у него лучше, чем у других телефонов.",она выбрала этот телефон
540,Куда они летят завтра? В Турцию на отдых.,они летят завтра
541,Она хочет велосипед.,она хочет на день рождения
542,Алихан работает в больнице.,работает в больнице
543,Я обычно ем на завтрак,я обычно ем на завтрак
544,холодильник стоит,холодильник стоит
545,Когда ты ложишься спать? В 11 вечера _я ложусь спать_.,холодильник стоит
546,Я приехал из Германии.,я приехал
547,"На стол, где обычно оставляет свои вещи.",он положил ключи
548,кот,"это, кот"
549,он был вчера вечером,он был вчера вечером
550,Она приедет утром.,она приедет
551,Сколько человек придёт на вечеринку? Десять человек _придёт на вечеринку_.,придёт на вечеринку
552,учит русский язык?,он учит русский язык
553,Он ходит в спортзал.,он ходит в спортзал
554,На автобусе.,я добираюсь до работы
555,бариста выпивает за день,бариста выпивает за день
556,До семи часов.,Петя будет в офисе завтра
557,Что он пытался сделать? Починить _ машину..,он пытался
558,Я купил,я купил в магазине
559,новый магазин, новый магазин стоит
560,он проспал и не успел встать вовремя.,он опоздал
561,"На автобусе номер 5 _ от остановки ""Центральная"".",можно добраться до вокзала
562,Сколько стоит эта книга? Двести рублей за нее.,эта книга стоит
563,"Своей подруге, которая живет в другом городе.",он позвонил
564,это кот моей соседки.,это кот
565,"Какой фильм он смотрел? Новый боевик _ (например, 'с названием «Неудержимые»).",он смотрел
566,он подарил цветы сестре.,он подарил цветы
567,"О нашем учителе, который преподает математику.",он говорил вчера
568,"свободно говорит по-китайски, кроме Лены, никто из них не говорит по-китайски.",свободно говорит по-китайски
569,"Бюджет на следующий квартал и новые проекты, которые будут реализованы в этом периоде.",директор обсуждал с коллегами на совещании
570,это описание,его больше всего удивило в этой книге
571,где именно на кухонном столе,мы оставили ключи от машины вчера вечером
572,и много интересных мест для путешествий.,я хочу провести отпуск в этом году
573,Кто же с собакой гулять будет? _Павел будет с собакой гулять!_,с собакой гулять будет
574,На своей подруге детства.,Сережа женился
