text,quest pronoun,variants,correct_answer,answer
"Он подчеркнул, что строительство с помощью России иранской АЭС - ""не столько коммерческий, сколько политический проект"", именно Бушер по его словам является реальным якорем, который удерживает Иран в режиме нераспространения ядерного оружия"". Выражая свое мнение в отношении проекта резолюции ""евротройки"" по Бушеру, Лавров отметил, что в нем ""есть подтекст - мол, поддержите нас по всем вопросам, и мы вам позволим достроить Бушер. Нам этого не надо"".",свое,"['Лавров', 'России', 'Бушеру']",1,1
"Власти города Пул в британском графстве Дорсет планируют демонтировать памятник основателю скаутского движения Роберту Баден-Пауэллу, чтобы спасти его от демонстрантов, которые могут нанести ему ущерб, сообщает в пятницу британский телеканал Sky News.",ему,"['памятник основателю скаутского движения Роберту Баден-Пауэллу', 'скаутского движения', 'города Пул в британском графстве Дорсет']",1,1
"Подтвердить информацию о связях Куриленко с российскими спецслужбами не удалось. Однако известно, что он долгое время проживал в Сирии, где занимался организацией пребывания в этой стране VIP-персон. Там же появлялись бизнесмен Михаил Некрич и Георгий Шуппе, которых следователи считают организаторами покушения на Минеева. Когда в Сирии началась война, ""разведчик"" вернулся в Россию. Он ходил в тренажерные залы, в одном из которых борьбу преподавал уроженец дагестанского села Гимры Омар Сулейманов. На малой родине его знают как человека, связанного с гимринской бандгруппой. Именно на имя Омара Сулейманова злоумышленники в итоге перерегистрировали ООО ""Евразия"", которое принадлежало Александру Минееву.",его,"['Александру Минееву', 'уроженец дагестанского села Гимры Омар Сулейманов', '""разведчик""']",2,3
"По данным прокуратуры, обвиняемые также похитили нефть дочерних акционерных обществ ОАО ""НК ЮКОС"": ОАО ""Самаранефтегаз"", ОАО ""Юганскнефтегаз"" и ОАО ""Томскнефть ВНК"" на сумму более 892,4 млрд рублей. Часть этих средств в размере 487,4 млрд рублей и 7,5 млрд долларов США они легализовали, утверждают следователи.",они,"['США', 'дочерних акционерных обществ ОАО ""НК ЮКОС""', 'обвиняемые']",3,3
"Он отметил, что в ходе встречи выражались надежды на то, что ""возможная отмена поправки Джексона - Вэника будет способствовать дальнейшему развитию двусторонних отношений, а главное, позволит американским компаниям использовать преимущества, которые у них появятся со вступлением России в ВТО"".",них,"['американским компаниям', 'преимущества', 'поправки Джексона - Вэника']",1,1
"Решение о смене аэропорта базирования Лебедев принял на фоне конфликта с Росавиацией. 800 пассажиров Red Wings не смогли вовремя улететь 30 марта из Москвы и Архангельска, после чего Росавиация запретила часть чартерных полетов авиакомпании, объяснив свои действия тем, что перевозчик ""несвоевременно подал заявку на одобрение чартерной программы"".",свои,"['Москвы', 'Росавиация', 'авиакомпании']",2,2
"Перестановки коснулись и других ведомств. От портфеля освобожден министр образования Майкл Гоув, один из выдающихся идеологов правого толка, его место заняла женщина - Ники Морган. Гоув же становится ""главным кнутом"" в палате общин - то есть главным организатором своей партии в парламенте, который следит за партийной дисциплиной. Он также должен принять активное участие в предвыборной агитации и публичных выступлениях в СМИ.",Он,"['главным организатором своей партии в парламенте', 'Гоув', 'парламенте']",2,2
"Довгий со своей стороны подал иск в суд, потребовав восстановить его на работе, взыскать с СКП РФ средний заработок за время вынужденного прогула, а также выплатить ему компенсацию за моральный вред в размере 100 тысяч рублей. Аналогичный иск подал его заместитель Александр Новиков, также уволенный из СКП, и двое других сотрудников следственного комитета - начальник отдела главка Сергей Глухих и следователь по особо важным делам Юрий Ермаков. Всем им суд в восстановлении на работе отказал.",ему,"['СКП РФ', 'Довгий', 'суд']",2,2
"Отказ Трампа признавать свое поражение не помешал мировым лидерам признать победу Байдена. Его поздравили премьер-министр Великобритании Борис Джонсон, президент Франции Эмманюэль Макрон, канцлер Германии Ангела Меркель, премьер Канады Джастин Трюдо, главы правительств Бельгии, Норвегии, Португалии, Греции и ряда других стран, глава Еврокомиссии Урсула фон дер Ляйен, генсек НАТО Йенс Столтенберг, мэры Лондона и Парижа.",Его,"['премьер-министр Великобритании Борис Джонсон', 'Трампа', 'Байдена']",3,3
"Главный редактор ""Коммерсант-Уфа"" Наталья Павлова заявила, что у журналистов не было повода не доверять источнику, занимающему руководящий пост, а его слова были переданы корректно. Целый ряд уфимских СМИ, в том числе и ProUfu, получил подтверждение этой информации из уст пресс-секретаря мэрии Марселя Байдавлетова и опубликовал ее на своих сайтах.",своих,"['мэрии', 'пресс-секретаря мэрии Марселя Байдавлетова', 'Целый ряд уфимских СМИ']",3,3
"Инцидент с попыткой беженцев в Польше выехать в Страсбург и проинформировать мировое сообщество о своем бедственном положении воспринят в Чечне с тревогой. Об этом, как передает ""Интерфакс"", президент Чеченской республики заявил в среду журналистам в Грозном. ""К нам и ранее систематически поступала информация о том, что в Польше беженцы из Чечни находятся в бедственном положении, - заметил он. - Это у нас вызывает серьезную тревогу и обеспокоенность. Конечно, случившееся в Польше следует расценивать как шаг отчаяния"".",своем,"['Страсбург', 'мировое сообщество', 'беженцев']",3,3
"Как уточняют ""Ведомости"", в суде представитель истца, член Общественной палаты Илья Ремесло заявил, что его доверитель живет в глухой деревне. Он решил сделать пожертвование после того, как посмотрел несколько роликов Навального, однако позже выяснил, что ""Навальный нигде не работает, тратит деньги на поездки за границу и не может баллотироваться на пост президента"". По данным издания, Костенко также подал заявление в правоохранительные органы с требованием привлечь оппозиционера к уголовной ответственности за мошенничество.",Он,"['его доверитель', 'Навального', 'представитель истца, член Общественной палаты Илья Ремесло']",1,1
"Ньюборн, работавший на первой стадии этого дела на общественных началах, на нынешнем этапе берет за свои услуги плату из расчета 700 долларов в час - эти деньги будут вычтены из суммы, доступной пережившим Холокост. Это неподобающе много, и ситуацию усугубляет то, что он оставляет за собой право приложить к расчету повышающий коэффициент ""за мастерство"", что теоретически может поднять плату за час до 875 долларов и более, отмечает The New York Times.",собой,"['пережившим Холокост', 'расчету', 'Ньюборн']",3,3
"Сюжет фильма условен и в нем нет неожиданностей для зрителя. Хелджленд не отступил от канонов рыцарской саги, наделив главного героя молодостью, красотой и талантом. Он подарил ему встречу с юной красавицей и верным другом. Но у каждого благородного героя должен быть злодей-противник, и он не медлит со своим появлением на экране. Хит Леджер, известный по фильму ""Патриот"", исполнил в ""Истории рыцаря"" главную роль. Он сыграл молодого простолюдина, обладающего уникальным воинским талантом. После внезапной смерти рыцаря, вассалом которого он был, герой решает выступить на турнире под именем своего господина.",ему,"['рыцаря', 'главного героя', 'злодей-противник']",2,2
"По данным следствия, в ночь на 24 июля 2009 года Галкин устроил драку в кафе на Садово-Кудринской улице Москвы. В ответ на отказ бармена налить ему виски актер взял стул, ударил им о барную стойку, после чего выстрелил из газового пистолета по бутылкам, продолжая требовать выпивку и угрожая применить оружие. Когда в бар прибыл участковый уполномоченный ОВД по Пресненскому району и потребовал от Галкина прекратить дебош, актер ударил его кулаком в голову.",им,"['кафе на Садово-Кудринской улице Москвы', 'актер', 'стул']",3,2
"В доме Юсупова имеется не один, а два подвала. Один действительно бетонный - напротив кухни, там у хозяйки хранится черемша, варенье, веники, грабли и прочая домашняя утварь. Изнутри помещение достаточно просторное, в человеческий рост, примерно три на три. Именно этот подвал продемонстрировали по телевизору как последнее убежище Масхадова. Крышей ему служит бетонный пол двора Юсуповых. Но этот бетон никто не взрывал. МК утверждает, что ""военные просто продолбили ломами две дырки"".",ему,"['Именно этот подвал', 'МК', 'доме Юсупова']",1,1
"Ранее в понедельник стало известно, что в сгоревшей московской квартире на проспекте Народного Ополчения было обнаружено тело девочки с отрубленной головой. Подозреваемая в убийстве была задержана у метро ""Октябрьское поле"" - женщина угрожала себя взорвать. В правоохранительных органах сообщили, что у няни при себе была отрезанная голова ребенка. По некоторым данным, задержанная находилась в состоянии наркотического опьянения. Взрывчатки у нее не было.",нее,"['сгоревшей московской квартире на проспекте Народного Ополчения', 'задержанная', 'отрезанная голова ребенка']",2,2
"В Майкопе в митинге сторонников кандидата в президенты России Владимира Путина ""За стабильное развитие страны"", который провела сегодня Федерация профсоюзов Адыгеи, приняли участие 3,5 тысячи человек, сообщает ИТАР-ТАСС. Глава республики Аслан Тхакушинов с трибуны подчеркнул, что президентом России должен стать опытный и ответственный политик, который поведут страну вперед по пути прогрессивных реформ, сохраняя социально-экономическую стабильность и согласие в обществе. В резолюции, единогласно принятой участниками митинга, говорится: ""Мы не хотим очередных перестроек, цветных революций, которые могут привести к разрушению устоявшихся основ государственной власти. Перемены к лучшему должны продолжаться, жизнь наших граждан должна с каждым годом становиться лучше, а ее качество - повышаться"".",ее,"['республики', 'жизнь наших граждан', 'страну']",2,2
"Прогнозируя дальнейшее распространение вируса ""птичьего гриппа"" по территории РФ, Львов сказал, что после Дагестана и Краснодарского края его появление может произойти в Астраханской, Ростовской и Волгоградской областях.",его,"['вируса ""птичьего гриппа""', 'Львов', 'Краснодарского края']",1,2
"В середине апреля у Воронцова прошел обыск по делу о распространении недостоверной информации. Как утверждали тогда в СК РФ, анонимный пользователь ""Владимир Воронцов"" распространил ложную информацию о том, что курсантов и офицеров одного из военных учебных заведений, в котором насчитывается 70% заболевших коронавирусом, заставляют делать утреннюю зарядку. Воронцов после обыска остался в статусе свидетеля. После этого, по словам ""омбудсмена полиции"", сотрудники управления собственной безопасности МВД посетили его знакомых из числа бывших и действующих сотрудников полиции. Их уговаривали дать показания на Воронцова, однако они отказались и сообщили об этом ""омбудсмену полиции"".",котором,"['СК РФ', 'Воронцов', 'одного из военных учебных заведений']",3,3
"После того как Россия заблокировала в Совете Безопасности ООН западный вариант резолюции по Сирии, косвенно открывающий путь к силовому вмешательству, случилось то, чего опасался глава МИДа Сергей Лавров: на Россию ""повесили всех собак"". Представители западных стран разразились яростными обвинениями, причем США пригрозили действовать в обход Совбеза, который, по выражению представителя страны в ООН Сьюзан Райс, ""полностью провалил важнейшую задачу своей повестки дня в этом году"".",своей,"['США', 'ООН', 'Совбеза']",3,2
"В конце июля на имя уполномоченного по правам человека в Пермской области поступили более 140 писем от заключенных исправительной колонии строго режима в поселке Чепец Чердынского района. Как следует из этих писем, в апреле этого года на территории колонии проходил практику один из отрядов тюремного спецназа. В течение трех дней люди в черных масках, вооруженные резиновыми дубинками, били заключенных, издевались над ними и проводили обыски.",ними,"['люди в черных масках', 'заключенных', 'этих писем']",2,2
"Хабаровск - первый массовый протест не ""мерзких либералов"", а глубинного народа. На него, как мы видим, совсем не действуют сказки про Навального, Госдеп и лично Наталью Арно. Более того, они видят, как их пугают коронавирусом, которого не было на голосовании по обнулению, и терактами. Тоже не действует. И если раньше в Кремле думали, что это ""мерзкие либералы"" протестуны, а глубинный народ за Путина, то теперь картинка стала другой.",него,"['Навального', 'глубинного народа', 'Хабаровск']",2,2
"К поединку на стадионе ""Градски"" сборная Хорватии подходила в ранге лидера отборочной группы Е. Для того чтобы оформить себе участие на чемпионате Европы, подопечным Славена Билича необходимо было в оставшихся двух поединках набрать хотя бы одно очко.",себе,"['подопечным Славена Билича', 'Хорватии', 'стадионе ""Градски""']",1,1
"Дочери рассказали родителям, что их посадили в сарай, и спустя некоторое время бросили туда же их брата, связанного по рукам и ногам и избитого. Солдаты вылили на него ведро воды, чтобы он очнулся, и снова увели. ""Они пытали девочек электричеством. Они прикладывали к их пальцам металлическую спираль, которую присоединяли к аккумулятору, - сказал Ганиев. - Они хотели получить информацию о повстанцах"".",их,"['Солдаты', 'Дочери', 'родителям']",2,2
"Напомним, что в феврале этого года на шестисторонних переговорах, в которых участвовали КНДР, Россия, США, Япония, Китай и Южная Корея, было достигнуто соглашение об остановке ядерного реактора в Йонбене, являвшегося частью ядерной программы КНДР. В ответ Северная Корея потребовала размораживания принадлежавших ей денежных средств в размере около 25 млн долларов США, находившихся на счету банка Delta Asia в автономном районе Макао (Китай).",ей,"['Северная Корея', 'Япония', 'Россия']",1,1
"Такого же мнения придерживаются другие ведущие политики-демократы. Лидер демократов в Сенате и спикер Палаты представителей Нэнси Пелоси призвали отстранить Трампа от должности, не дожидаясь 20 января, когда он должен покинуть свой пост по конституции. Они призвали членов администрации Трампа воспользоваться их конституционными полномочиями и отстранить президента от власти. Если этого не произойдёт, то, по словам Пелоси, Палата представителей может начать процедуру импичмента Трампа - уже вторую за его 4-летний срок.",свой,"['спикер Палаты представителей Нэнси Пелоси', 'Трампа', 'Лидер демократов в Сенате']",2,2
"Власти Ирана почти установили местонахождение похищенного там в среду вооруженными людьми 23-летнего студента Национального Университета Йокогамы, передает РИА ""Новости"". По словам министра иностранных дел Японии Масахико Комуры, иранские власти практически установили и похитителей. Японская сторона еще не вступала в контакт с этой группой, однако иранские власти уже вышли на нее.",нее,"['иранские власти', 'этой группой', 'Японская сторона']",2,3
"Аналогичное требование уже узаконено в США, в Великобритании и во Франции. ""У нас этого пока нет, но мы к этому движемся"", - обнадежил НГ Аксаков. По словам депутата, его уже фактически поддержал заместитель председателя Центрального банка Виктор Мельников: ""Он сказал: есть вопрос, поскольку есть требование FATF, а мы - члены FATF"". Препятствий на пути продвижения документа он не видит, ""поскольку президент в своем Послании озвучил проблему борьбы с коррупцией как одну из первостепенных"".",он,"['президент', 'депутата', 'заместитель председателя Центрального банка Виктор Мельников']",2,2
"США также приняли ""список Магнитского"", вводящий санкции в отношении россиян, причастных, по мнению Вашингтона, к смерти юриста, а также нарушениям прав человека в России. Москва в ответ обнародовала свой список из граждан США, причастных, по мнению российских властей, к легализации и применению пыток в американской спецтюрьме в Гуантанамо, а также к нарушениям прав и свобод россиян за рубежом. Этим лицам запрещен въезд в РФ.",свой,"['Москва', '""список Магнитского""', 'россиян']",1,1
"По его словам, зрители проявили интерес к проекту во многих городах России. ""Молодая аудитория реагирует на него даже живее, чем мы надеялись. Фильм-то просветительский, не публицистический. Мы собрали интересные исторические факты, многие из которых мы сами для себя открыли только в процессе работы"", - говорит режиссер.",себя,"['России', 'мы сами', 'режиссер']",2,2
"Хафтар, контролирующий восточную часть Ливии, неоднократно за последние несколько лет посещал Москву для встреч с главами российского МИД и Минобороны, а также секретарем Совбеза РФ. И он получил согласие РФ вооружить его подразделения, а также на поставку оружия на сумму в 2 млрд долларов в обмен на 2 военные базы.",его,"['Минобороны', 'Хафтар', 'российского МИД']",2,2
"В феврале на восточном побережье Синая были захвачены в заложники граждане США. Бедуинские боевики остановили автобус с туристами. Ограбив пассажиров, они увели с собой двух американок и местного экскурсовода. Через несколько часов похищенные были освобождены. Бедуины требовали освободить своих родственников из египетских тюрем.",они,"['туристами', 'пассажиров', 'Бедуинские боевики']",3,3
"Защитник ""Оттавы"" Здено Чара забросил шайбу и сделал результативную передачу, что помогло ""Сенаторам"" выйти на первое место в дивизионе, деля его с ""Бостоном"". Судьба первенства решится в двух матчах основного соперника против ""Дэвилз"". Между тем, ""Оттава"" закрывает сезон поединком с ""Торонто"".",его,"['Защитник ""Оттавы"" Здено Чара', 'дивизионе', 'первое место в дивизионе']",3,1
"В последние недели ВВС США и Великобритании, готовясь к широкомасштабной операции, расширили список целей на севере и юге Ирака. Теперь они наносят удары не только по объектам ПВО, но и по ракетным комплексам класса ""земля-земля"", сообщает ИТАР-ТАСС. Как сообщила со ссылкой на американских военных газета The Jerusalem Post, эти ракеты уничтожаются не потому, что расположены в ""запретных зонах"" и угрожают самолетам союзников, а из-за того, что в пределах их досягаемости оказались войска США, в частности на кувейтской границе.",их,"['США', 'эти ракеты', 'ВВС США и Великобритании']",2,3
"Кроме того, консорциум планирует использовать для сборки производственные мощности калининградского ""Автотора"", а также взять на себя все продажи Opel и Chevrolet в стране.",себя,"['калининградского ""Автотора""', 'консорциум', 'Opel']",2,2
"Говоря о политической стратегии, выработанной им с премьер-министром Владимиром Путиным, глава государства заверил, что у них есть единая согласованная программа, передает ИТАР-ТАСС. ""У любой системной политической силы должна быть программа на длительную перспективу. Она есть"", - сказал глава государства. ""Все идет как договаривались"", - заверил присутствующих Медведев.",им,"['присутствующих Медведев', 'премьер-министром Владимиром Путиным', 'глава государства']",3,3
"Депутаты парламента Киргизии на заседании во вторник в ходе тайного голосования дали согласие на назначении Кабиловой председателем ЦИК. Ее назначение поддержали 52 депутата, против проголосовали восемь парламентариев.",Ее,"['ЦИК', 'Киргизии', 'Кабиловой']",3,3
"Тем временем Гибралтар решил обсудить с Шотландией общий план действий, который позволил бы этим частям Великобритании после ее выхода из Евросоюза остаться в его составе. Не исключено, что к переговорам присоединится и Северная Ирландия, жители которой также голосовали против Brexit.",ее,"['Шотландией', 'Северная Ирландия', 'Великобритании']",3,3
"По его словам, Бекхэм не является идеальным игроком, который впишется в систему ""Милана"". Более того, под Бекхэма придется менять всю игру красно-черных. Сейчас Анчелотти все в ""Милане"" устраивает, и поэтому он не хотел бы менять кого-либо из своих игроков. ""Я не хотел бы, чтобы сейчас продали кого-либо из моих нынешних подопечных. Впрочем, я не знаю и какая судьба ожидает меня в преддверии следующего сезона"", - отметил тренер соперников московского ""Локомотива"" по Лиге чемпионов. Напомним, что ""Милан"" уже предлагал себя в качестве нового клуба для Бекхэма. Это было в 2000 году, однако тогда Бекхэм заключил новый контракт с ""Манчестер Юнайтед"" и сделка сорвалась.",себя,"['""Манчестер Юнайтед""', '""Милан""', 'московского ""Локомотива""']",2,2
"В Еврейском автономном округе, недалеко от Биробиджана, обнаружена плантация конопли. База для изготовления всевозможных продуктов из этого растения и лагерь для жилья работников разместились в труднодоступном и хорошо замаскированном таежном месте. Здесь же был обнаружен и семенной фонд будущих посевов.",Здесь,"['плантация конопли', 'Еврейском автономном округе', 'труднодоступном и хорошо замаскированном таежном месте']",3,3
"Кроме того, крупнейшая в стране сеть заправок и единственный нефтеперерабатывающий завод, самый большой на Балканах, принадлежат российской компании ""Лукойл"". Кроме того, Болгария импортирует из России всю свою нефть. Российская монополия приводит к тому, что ""затраты на производство и логистику в нефтяной сфере оказываются самыми высокими в ЕС"", критикует исследовательский центр CSD в Софии.",свою,"['Болгария', 'России', 'Балканах']",1,1
"Черенков трижды выигрывал со ""Спартаком"" чемпионат Советского Союза, по разу чемпионат и Кубок России, дважды признавался лучшим футболистом СССР, а в 1989 году получил звание заслуженного мастера спорта СССР. В составе национальной команды он завоевал бронзовую медаль Олимпийских игр 1980 года в Москве.",он,"['СССР', 'Черенков', '""Спартаком""']",2,2
"Корреспондент ""Коммерсанта"" Андрей Колесников отметил, что ""тон послания был пока каким-то нарочито сдержанным, без особых восклицательных знаков"". ""В своем послании к Федеральному собранию Владимир Путин сосредоточился на свободах, а не на угрозах"", - заключил журналист. В качестве примера автор статьи приводит обращение президента к деятелям культуры с призывом быть сдержаннее в спорах, в ходе которого Путин подчеркнул, что ""и в культуре, и в политике, в средствах массовой информации и в общественной жизни, в полемике по экономическим вопросам никто не может запретить свободно мыслить и открыто высказывать свою позицию"".",которого,"['призывом быть сдержаннее в спорах', 'обращение президента к деятелям культуры с призывом быть сдержаннее в спорах', 'своем послании к Федеральному собранию']",2,2
"Ссылаясь на собственные источники среди отступающих талибов, другой американский журнал US news and world report - также сообщил в понедельник, что бен Ладен и другие оставшиеся в живых лидеры ""Аль-Каиды"" ушли в горы в провинции Урузган к северу от Кандагара, где в пещерах у них заготовлены склады с оружием для партизанской войны. Об этом заявил один из руководителей Северного альянса в Кабуле Юнис Кануни. По его словам, талибы пытаются обмануть и дезориентировать мировое сообщество, чтобы прекратить бомбардировки. С этой целью постоянно говорят о том, что Усама бен Ладен якобы покинул Афганистан.",его,"['Афганистан', 'один из руководителей Северного альянса в Кабуле Юнис Кануни', 'Усама бен Ладен']",2,2
"В своей кассационной жалобе, как пояснили защитники, Лебедев просит вышестоящую инстанцию изменить ему меру пресечения. Адвокаты намерены просить суд выпустить своего подзащитного под залог в любом размере, подписку о невыезде, а также под личное поручительство ряда граждан, в том числе депутатов Госдумы, сообщил Евгений Бару.",своего,"['Лебедев', 'суд', 'Адвокаты']",3,3
"Вводить ограничения в отношении журналистов не стали, поскольку санкции WADA этого не требуют. При этом в федерации подчеркнули, что журналистам запрещено передавать российским спортсменам государственную символику, так что финишировать с государственным флагом в гонках им не удастся.",им,"['журналистам', 'российским спортсменам', 'WADA']",2,1
"В Бурятии полицейские принесли свои извинения вдове ветерана войны, труженице тыла Клавдии Клочихиной, которую 9 мая не пустили на парад Победы в Улан-Удэ. К ней домой приехал лично начальник отдела управления по обеспечению охраны общественного порядка МВД Бурятии Евгений Норбоев, который принес извинения, подарил цветы и поздравил ветерана с праздником, а также оставил пенсионерке свой номер телефона и сказал, что она может напрямую обращаться к нему с любыми вопросами, сообщил на своей странице в Facebook журналист Алексей Туробов.",свои,"['полицейские', 'вдове ветерана войны, труженице тыла Клавдии Клочихиной', 'Бурятии']",1,1
"""Этой самой рукой я восемь лет назад приветствовал (президента) Буша, я хочу быть твоим другом"", - в своей прямой манере заявил Уго Чавес Бараку Обаме. Ответил ли что-либо на это Обама, неизвестно, однако на фотографиях, распространенных на саммите пресс-службой главы венесуэльского государства, оба президента улыбаются друг другу непринужденно и, как кажется, вполне искренне.",своей,"['венесуэльского государства', 'Буша', 'Уго Чавес']",3,3
"Но не один Березовский, по Мамонтову, стремится разрушить российское государство, подобно либералам начала ХХ века - через церковь. Также в фильме было процитировано некое анонимное письмо об атаке на церковь, которая планировалась еще с 2008 года. Девушка, имеющая отношение к шоу-бизнесу, прислала этот документ, в котором упоминался бывший продюсер группы ""Тату"" Иван Шаповалов. Речь шла о проекте на некую религиозную тему, против православия и Путина. Заказчиками его были ""какие-то американцы"", которые хотели воздействовать на молодежь и вести ее за собой, зомбированную, как стадо баранов.",его,"['этот документ', 'проекте на некую религиозную тему, против православия и Путина', 'фильме']",2,2
"Третьеклассник Сева, по словам его отца, сел в автобус, чтобы доехать на нем домой после занятий. Он предъявил кондуктору транспортную карту, однако женщина потребовала заплатить 15 рублей за провоз якобы тяжелого рюкзака. Школьник отказался, тогда кондуктор толкнула его в грудь, и тот выпал из автобуса спиной вперед.",тот,"['кондуктор', 'его отца', 'Школьник']",3,3
"Напомним, недавно Виталий Манский в разговоре с журналистами издания ""Факты и комментарии"" нецензурно обругал Никиту Михалкова за его позицию по Украине. Позже Манский заявил, что его слова не предназначались для печати. ""Когда я увидел вышедшее интервью, то позвонил главному редактору и потребовал снять эту фразу"", - сказал он.",его,"['издания ""Факты и комментарии""', 'Манский', 'Никиту Михалкова']",2,2
"Стрип рассказала, что ее поразил тот факт, что за все долгие годы работы Тэтчер в должности премьер-министра у нее никогда не было личного повара. ""Она была потрясающе энергична и могла работать до поздней ночи, требуя того же и от своего кабинета министров. Как-то раз ее муж вошел в комнату, где они сидели и что-то обсуждали, и заявил, что министров-мужчин надо иногда кормить, и она пошла на кухню и сама сделала на скорую руку какие-то ужасные гренки ""по-валлийски"", - рассказала актриса.",своего,"['личного повара', 'Стрип', 'Тэтчер']",3,3
"Сам Демушкин вины не признавал и утверждал, что изображение с ""Русского марша"" является фотографией согласованного с властями баннера, с которым в колонне прошли участники марша. Националист назвал уголовное дело ""вымученным и позорным"". В феврале Демушкин вышел на свободу в связи с частичной декриминализацией статьи о ""возбуждении ненависти и вражды"".",которым,"['изображение с ""Русского марша""', 'согласованного с властями баннера', 'Националист']",2,3
"Когда Луис Фелипе Сколари побил Англию в четвертьфинале чемпионата мира 2002, в его распоряжении была более сильная команда, чем сейчас. Криштиану Роналду может представлять определенную угрозу, но он до сих пор футболист, который лишь овладевает профессией. А Луиш Фиго, конечно же, уже не тот игрок, каким он был во время Евро-2002.",он,"['Криштиану Роналду', 'Луис Фелипе Сколари', 'Луиш Фиго']",3,1
"""Исламское государство"" - международная исламистская террористическая организация, которая образовалась в 2006 году, отпочковавшись от печально известной ""Аль-Каиды"". Наибольшую силу ИГ набрало во время действий на территории Сирии, где его боевики воевали против правительственных сил. В 2014 году группировка резко активизировала свою деятельность в Ираке. Там ИГ захватила обширные территории. Вскоре исламисты объявили о создании так называемого исламского халифата на подконтрольных им территориях в Сирии и Ираке. В РФ ИГ признана террористической организацией, ее деятельность запрещена на территории страны.",ее,"['""Аль-Каиды""', 'РФ', '""Исламское государство""']",3,3
