text,first span,second span,correct_answer,answer
"Напомним, что, по итоговой версии следствия, в 2003 году вице-президент ""Евросети"" Борис Левин и сотрудники службы безопасности компании, в том числе Каторгин, заподозрили экспедитора компании Андрея Власкина в краже крупной партии мобильных телефонов. Они начали его разыскивать с помощью сотрудников УВД Южного округа Москвы. Как отмечают следователи, эти действия осуществлялись с ведома и в интересах главы ""Евросети"" Чичваркина.",компании,"""Евросети""",True,False
"Защита Кучмы, который отвергает свою причастность к смерти репортера, в ноябре обжаловала постановление о возбуждении дела. 13 декабря 2011 года Печерский районный суд Киева признал возбуждение уголовного дела в отношении Кучмы незаконным и отменил соответствующее постановление Генпрокуратуры. Магнитозаписи экс-сотрудника Управления государственной охраны майора Николая Мельниченко, на которых голос, похожий на голос Кучмы, отдает распоряжение ""разобраться"" с журналистом, суд не признал доказательством вины экс-президента.",Кучмы,журналистом,False,False
"Уполномоченный при президенте РФ по правам ребенка Павел Астахов назвал чудовищным убийство ребенка няней в Москве. Ранее сообщалось, что на северо-западе столицы в одной из квартир после пожара было обнаружено тело четырехлетней девочки с отрезанной головой. Подозреваемую в жестокой расправе по горячим следам задержала полиция.",няней,Подозреваемую в жестокой расправе,True,False
"Как говорится на сайте Минфина США, исследовательский центр и технопарк ""ЭРА Технополис"" финансируется и управляется Министерством обороны России и связан с ГРУ. Компания ""Пасит"" и НИИ проводили исследования и разработки в поддержку ""злонамеренных киберопераций"" Службы внешней разведки (СВР) России. ""Необит"" и AST американское ведомство связывает с Минобороны, ФСБ, ГРУ и СВР.",Минфина США,американское ведомство,True,False
"Люберецкий городской суд в среду признал виновным в мошенничестве в особо крупном размере известного подмосковного политика и бизнесмена, председателя совета директоров племзавода ""Петровское"" Василия Дупака. Однако приговор за совершение тяжкого преступления оказался скандально мягким - прокурор просил для члена областного политсовета партии ""Единая Россия"" и бывшего депутата областной думы восемь лет реального заключения, а суд счел условное наказание достаточным. Между тем сам Дупак был удивлен, что приговор вообще обвинительный.",суд,приговор,False,False
"Источник в правоохранительных органах рассказал, что накануне в 21:10 в дежурную часть обратилась 40-летняя женщина. Она сообщила, что у дома 28/53 по Нахимовскому проспекту на ее мужа, гражданина Польши Зауха Анджея напали трое неизвестных. По словам женщины, неизвестные избили ее мужа, после чего скрылись на иномарке темного цвета. Журналист Заух Анджей был аккредитован в Москве.",40-летняя женщина,женщины,True,False
"По данным газеты, с осени 2014 года Сечин строит новый дом на Рублевке, возле клинического санатория ""Барвиха"" управделами президента (УДП). Участок Сечина площадью 3 га расположился в центре нового поселка, у которого пока нет названия. Он скрыт от чужих глаз сплошным забором и 100-метровой полосой соснового бора. Рядом участки площадью 3,4 га купили еще три человека с такой же фамилией, включая двух детей руководителя нефтяной компании.",нефтяной компании,Рублевке,False,False
"По данным представителей ISAF, военнослужащий Австралии и афганский переводчик в воскресенье подорвались на фугасе в провинции Урузган. Состояние афганца крайне тяжелое, в то время как австралийца - удовлетворительное. Смешанный австралийско-афганский патруль находился в районе Мирабад, когда произошел этот инцидент. Оба раненых были эвакуированы вертолетом в военный госпиталь города Таринкот.",афганца,военнослужащий Австралии,False,False
"Двое сотрудников пермского ОМОНа получили ранения, еще один омоновец скончался в результате нападения боевиков в Цунтинском районе Дагестана, сообщил ""Интерфаксу"" источник в правоохранительных органах республики.",республики,Дагестана,True,False
"Губернатор Мурманской области Марина Ковтун, как и обещала, приехала в пятницу, 16 июня, в Апатиты, чтобы разобраться в ситуации, и встретилась с родной тетей Дарьи Любовью Тулуповой, которая помогает ей воспитывать шестилетнюю дочь.",Дарьи,шестилетнюю дочь,False,False
"Как пишут противники свалки, 27 мая продолжились работы по строительству мусорного полигона - кран грузил плиты, а на месте работали экскаваторы. Сотрудники частного охранного предприятия не подпускали экоактивистов к месту работ, а ОМОН оттаскивал людей и применял к ним силовые методы. Кроме того, со стороны железнодорожной станции стояло оцепление силовиков. Когда противники свалки встали в ста метрах от станции, на них напала охрана.",экоактивистов,Сотрудники частного охранного предприятия,False,False
"Киевские власти собираются амнистировать жителей Донбасса, которые ""вынужденно вступили в ряды"" самопровозглашенных Донецкой и Луганской народных республик и при этом не нападали на представителей украинской армии, а выполняли функции, не связанные с насилием. Об этом в эфире телеканала ""112 Украина"" заявил глава информационного центра Службы национальной безопасности и обороны (СНБО) Украины Андрей Лысенко.",жителей Донбасса,представителей украинской армии,False,False
"Активисты незарегистрированной партии ""Другая Россия"" заявили о создании на территории Донбасса собственного военного подразделения, которое будет воевать за сепаратистов. Участник движения, созданного политиком Эдуардом Лимоновым, рассказал в интервью ""Росбалту"", что их подразделение называется ""Харьковская республика"", и его члены собираются ""освобождать"" Харьковскую область.",движения,собственного военного подразделения,False,False
"Как утверждает в письме один из читателей NEWSru.com, руководил ""Ночными волками"" байкер Рома Ангел - родной брат Хирурга, ему же якобы принадлежит прибывший в Зеленоград Hummer. По словам автора письма, не спрятавшихся в гараже байкеров ""волки"" избили и раздели, угрожая сексуальным насилием. По данным читателя, в распоряжении ""Трех дорог"" имеется видеозапись инцидента, которую уже отправили в правоохранительные органы и скоро опубликуют в интернете.",автора письма,один из читателей NEWSru.com,True,False
"После публикации дневников председателя КГБ Ивана Серова, из которых выяснилось, что арестованный Виктор Абакумов, который до Серова возглавлял госбезопасность, признался на допросе, будто приказ ликвидировать Валленберга исходил от Сталина и министра иностранных дел Вячеслава Молотова, родственники шведского дипломата вновь начали настаивать на доступе к документам. Серов не сомневался, что Валленберг был ликвидирован в 1947 году.",Валленберга,шведского дипломата,True,False
"""Мы нашли в Службе безопасности Украины, что 29 июня 2000 года после разговора президента Кучмы и председателя СБУ Деркача, где Кучма дал указание Деркачу - ""сможете ли вы сделать с Гонгадзе..."", - сказал депутат.",депутат,Кучма,False,False
"""То есть это с самого начала провокация, и человек подставной, именно чтобы его было не найти, чтобы журналисты не могли с ним поговорить - пенсионер из глухой деревни"", - уверен руководитель предвыборного штаба. Он считает целью ""провокации"" заголовки вроде ""Суд обязал Навального вернуть деньги разочаровавшемуся стороннику"", хотя ""никаким сторонником тут не пахнет"".",руководитель предвыборного штаба,пенсионер из глухой деревни,False,False
"Отметим, в последнее время все чаще сообщается о подобных лекциях, проводимых в школах по всей России из-за интереса учеников к деятельности Навального. В середине октября директор хабаровского лицея Ольга Кодина даже решила выгнать 15-летнего ученика, активно принимавшего участие в работе городского штаба оппозиционера. В ходе беседы, на которой присутствовали психолог и другие педагоги, директор срывалась на крик и заявляла родителям ученика, что ""в их дом пришла беда"", а также угрожала доложить об оппозиционной деятельности их сына в Федеральную службу безопасности.",15-летнего ученика,их сына,True,False
"Чуркин увязал попытки ""вбить клин в отношения России с арабским миром"" с ""преувеличенной, эмоциональной и даже грубой"" реакцией на российское вето в Совбезе со стороны Запада. Как известно, госсекретарь США Хиллари Клинтон назвала произошедшее в Совбезе ООН ""пародией"", а американский постпред при ООН Сьюзан Райс заявила, что ей ""отвратительно"" российско-китайское вето. В целом ряде европейских стран также прозвучали резкие слова в адрес Москвы.",Чуркин,американский постпред при ООН Сьюзан Райс,False,False
"Ответ Израиля на эти заявления последовал немедленно. Как говорится в заявлении канцелярии премьер-министра, Израиль возобновит военные действия, если ""Хизбаллах"" не выполнит требований резолюции 1701 СБ ООН.",заявлении канцелярии премьер-министра,Ответ Израиля,True,False
"Вместе с тем близкий к ритейлеру человек отмечает, что пока это лишь инициатива ""Вымпелкома"", разговоры, и в таком виде это предложение ""Мегафон"" не примет. В частности, придется менять схему разделения долгов между акционерами, предполагает собеседник издания. Президент ""Евросети"" Александр Малис заявил ""Ведомостям"", что договоренность акционеров о разделении ритейлера не достигнута.",собеседник издания,близкий к ритейлеру человек,True,False
"""На южной окраине Крымска от трассы А-146 перпендикулярно к ней и поперек реки Адагум отходит шоссе. Его высота над уровнем реки - около семи метров. Вот здесь и наступил критический момент. Дорога на протяжении 800 метров фактически образовала дамбу. Ворота для пропуска воды были как будто большими - 80 метров, но и этот широкий проем стал забиваться крупным и мелким мусором и в конце концов оказался полностью перекрыт… Когда колоссальный объем воды прорвал спонтанно образовавшуюся плотину, гигантская семиметровая волна... ринулась на город и затопила его. Ширина бешено несущегося вала превышала 800 метров"", - рассказал ученый.",Крымска,город,True,False
"Военные предприняли силовую операцию. Как сообщил спутниковый телеканал ""Телесур"", бойцы армейского спецподразделения прорвали кольцо полицейских, вошли в здание госпиталя, где на пятом этаже находился президент, и обеспечили эвакуацию главы государства на бронированном автомобиле из президентского кортежа.",Военные,бойцы армейского спецподразделения,True,False
"NEWSru Israel пишет, что МВД Болгарии квалифицировало происшествие как теракт, и напоминает: в самом начале года израильские СМИ сообщили, что власти опасаются терактов против израильтян в Болгарии. Согласно этой информации, теракт пытаются организовать боевики шиитской террористической организации ""Хизбаллах"" в рамках мести за убийство начальника оперативного отдела группировки Имада Мугнии в Дамаске. По этим сообщениям, власти Израиля попросили болгарские силы безопасности принять дополнительные меры для защиты израильских туристов. (Прим. NEWSru.com: скорее всего, по совпадению, как раз в среду в Сирии в теракте погиб заместитель министра обороны по вопросам безопасности генерал Асеф Шавкат, которого считали причастным к тому громкому убийству.)",группировки,"шиитской террористической организации ""Хизбаллах""",True,False
"Остальные европейские монархии обходятся своим подданным дешевле: Испания, Швеция, Дания, Бельгия и Норвегия тратят на королевские семьи от 8,8 до 28 млн евро ежегодно. Наиболее ""бюджетной"" является монархия в Люксембурге - великому герцогу Анри и его семье достаточно всего 8,7 млн евро в год.",Бельгия,монархия в Люксембурге,False,False
"Девятый арбитражный апелляционный суд в среду оставил в силе решение Арбитражного суда Москвы, подтвердившего действительность аукциона по продаже акций ""Юганскнефтегаза"". Тем самым суд отклонил апелляционную жалобу НК ЮКОС. Суд также отказал ЮКОСу в возмещении убытков, понесенных в результате аукциона, которые оценивались более чем в 324 млрд рублей.",Арбитражного суда Москвы,суд,False,False
"Антимонопольное расследование в отношении нефтеперерабатывающего завода ""Лукойла"" в Бургасе было начато властями Болгарии еще в феврале этого года. Комиссия по защите конкуренции проанализировала динамику топливного рынка Болгарии с 2013 по 2015 годы и обнаружила схожесть ценовой политики семи компаний, которая не отражала реальную ситуацию на рынке. ""Это может быть результатом картельного соглашения"", - отмечалось тогда в пресс-релизе регулятора.","""Лукойла""",регулятора,False,False
"Владимиру Усову, Игорю Пряхину и Александру Колеснику следователи предъявили обвинение в нелегальной банковской деятельности (ч. 2 ст. 172 УК РФ). Владимиру Усову также добавили статью о легализации денежных средств (ст. 174.1 УК РФ) - около 180 тысяч рублей. Расследование дела в отношении Вячеслава Бреусова приостановлено (в суде прозвучало, что он находится в США). Судебное разбирательство по делу началось в январе 2010 года.",Вячеслава Бреусова,Владимиру Усову,False,False
"Однако компания Nutella отказалась напечатать имя девочки на этикетке, поскольку латинское написание данного имени выглядит как ISIS, что созвучно акрониму запрещенной в России экстремистской организации ИГИЛ - ""Исламское государство"". Английский вариант написания группировки - ISIS (Islamic State of Iraq and al-Sham).","запрещенной в России экстремистской организации ИГИЛ - ""Исламское государство""",компания Nutella,False,False
"При взлете самолета Bombardier Dash 8 авиакомпании Flybe из британского аэропорта Саутгемптон у двигателя воздушного судна оторвалась створка, прикрывающая начинку мотора и, отлетая, повредила крыло. При расследовании командир экипажа утверждал, что перед взлетом проверил машину, включая крышки двигателя, и они были должным образом закреплены. Но подразделение по расследованию авиапроисшествий AAIB заключило, что дверца не была должным образом закреплена, передает BBC.",самолета Bombardier Dash 8 авиакомпании Flybe,экипажа,False,False
"Некоторые предприниматели, чья недвижимость попала в охранную зону, считают, что постановление N14 вышло под влиянием епархии, ""чтобы давить на бизнес"". В ростовском Министерстве культуры заявили, что
епархия не имеет отношения к этому решению властей.",епархия,охранную зону,False,False
"Ровер Curiosity, уже третью неделю обживающийся на поверхности Марса, продолжает радовать поклонников новыми фотографиями с Красной планеты. Вслед за первыми цветными снимками и фото в 3D марсоход прислал на Землю панораму окрестностей кратера Гейла, в котором он совершил посадку. Снимки окружающих Curiosity пейзажей позволили сделать первую интерактивную панораму Марса.",Красной планеты,Землю,False,False
"По неизвестным причинам сотрудники МИДа РФ решили опубликовать фотографию на странице ведомства в соцсети и сопроводить ее остротой. ""Надеемся, что это не мобилизация ветеранов на откапывание окопов холодной войны"", - прокомментировал российский МИД фото в Facebook. Сообщение также продублировано на английском языке.",Сообщение,фото,False,False
"Премьер-министр Испании ранее уже говорил о срочной необходимости введения жестких мер, чтобы снизить заимствования страны путем повышения налога на добавленную стоимость бензина, общественного транспорта, гостиниц, ресторанов и воды. В настоящее время ставка НДС по ним сильно занижена.",Испании,страны,True,False
"Судя по всему, Минобрнауки ""услышало эти слова: в приказе министра четко говорится, что речь идет об изучении именно фрагментов ""Архипелага ГУЛАГа"". Кроме того, еще осенью прошлого года министерство направило в российские школы методические рекомендации, согласно которым было расширено изучение творческого и историко-культурного наследия Солженицына, как на уроках литературы, русского языка и развития речи, так и в курсе отечественной истории ХХ - начала ХХI веков.",Минобрнауки,министерство,True,False
"Президент США Джо Байден подписал указ о новых санкциях в отношении России ""за действия ее правительства и спецслужб против суверенитета и интересов"" страны, говорится на сайте Белого дома.",страны,США,True,False
"На сей раз внимание сотрудников Фонда привлекли глава Минфина РФ Антон Силуанов и первый замглавы Минобороны Руслан Цаликов. Как отмечает Навальный, их можно назвать яркими представителями групп так называемых системных либералов (Силуанов) и силовиков (Цаликов), на которые многие любят делить представителей российской власти. Но на деле, по мнению оппозиционера, это деление является искусственным, доказательством чему и служит новое расследование.",Навальный,оппозиционера,True,False
"Парламентские выборы в Германии прошли 24 сентября. По их итогам в бундестаг прошли шесть партий, в том числе впервые - националистическая ""Альтернатива для Германии"". Перед выборами глава Facebook Марк Цукерберг заявил, что следов вмешательства в ход выборов в Германии с помощью соцсети обнаружено не было.","националистическая ""Альтернатива для Германии""",шесть партий,False,False
"Люберецкий горсуд не впервые принимает неоднозначные решения, связанные с хищением земель племзавода ""Петровский"", напоминает ""Коммерсант"". В августе 2011 года в этом суде по обвинению в приготовлении к сбыту наркотиков к восьми годам заключения был приговорен адвокат Артур Прель, являвшийся одним из инициаторов возбуждения уголовного дела в отношении Василия Дупака. В кармане у адвоката Преля, остановленного на посту ДПС при въезде в Люберцы, были найдены 15 граммов амфетамина, расфасованные в три пакетика. ""Мой сын отстаивал права простых людей на очень дорогую землю в нашей Малаховке, которую похитил Дупак, и делал это очень эффективно, за что и оказался в заключении"", - заявила газете мать осужденного Ирина Прель.",Василия Дупака,адвоката Преля,False,False
"Федеральная служба безопасности (ФСБ) РФ потребовала от жителя Петербурга Валерия Острякова, дважды проигравшего суд ведомству, пытаясь получить доступ к материалам уголовного дела своего деда Василия Острякова, осужденного по статье 58-1а УК РСФСР (измена родине), компенсацию расходов на поездки своего представителя в Северную столицу. Сумма иска составляет 26 430 рублей 20 копеек.",своего представителя,жителя Петербурга Валерия Острякова,False,False
"Некоторые представители правоохранительных органов также сообщили, что следствие еще должно тщательно проверить все детали. Чиновники, которые говорили на условиях анонимности, сказали, что операция в Ираке завершилась взятием под стражу двух человек, третьего до сих пор разыскивают. Источник в разведслужбах передал федеральным властям, что эти три человека в Ираке планировали встретиться со своими оперативными агентами в Нью-Йорке, пишет американская газета (перевод на сайте Inopressa.ru).",эти три человека,Чиновники,False,False
"Женщина уже больше десяти лет не видела своих дочерей. Когда ее захватили в заложники, девочкам было 8 и 10 лет. С тех пор Паркер сумела несколько раз позвонить им, чтобы сообщить, что ""с ней все в порядке"" и она их любит и скучает. Пресса сообщает, что муж пленницы был очень рад ее возвращению. Агент ФБР Сальвадор Хернандез, которые ведет дело Дайла, говорит, что верит в рассказ женщины. Несмотря на то что заложников редко удерживают столько времени, это, в принципе, вероятно. Между тем в историю, рассказанную освобожденной женщиной, верят далеко не все.",муж пленницы,Паркер,False,False
"Министр иностранных дел Сергей Лавров считает, что задача встречи замминистров иностранных дел в Лондоне по Ирану в понедельник будет непростой. ""С одной стороны, иранское руководство пока не дает удовлетворительных ответов на известные вопросы, которые есть у МАГАТЭ, с другой стороны участились, и это беспокоит, прогнозы о том, что по Ирану могут быть нанесены удары"", - сказал Лавров на совещании у президента России Владимира Путина.",Лавров,замминистров иностранных дел,False,False
"Следственный комитет (СК) РФ арестовал имущество экс-министра экономического развития Алексея Улюкаева на сумму свыше полумиллиарда рублей, заявил заместитель председателя СК Игорь Краснов в интервью газете ""Коммерсант"". Общая сумма арестованных средств экс-министра превышает один миллион долларов и 280 миллионов рублей, сообщила ""Интерфаксу"" пресс-секретарь Басманного суда Юнона Царева.",Басманного суда,СК,False,False
"Ранее Рязанский назвал случай с выплатами футболистам ""Зенита"" ""вопиющим"". В свою очередь, председатель ФСС Сергей Афанасьев сообщил сенаторам, что по результатам переговоров регионального отделения ФСС с руководством ""Зенита"" футбольный клуб готов прекратить практику оформления спортивных травм как временной нетрудоспособности.","""Зенита""",футбольный клуб,True,False
"Министр отметил, что украинские и российские дипломаты ""блестяще справились с предотвращением конфликта"", связанного с оформлением верительных грамот нового посла РФ Михаила Зурабова. Напомним, 25 января Зурабов прилетел в Киев и в тот же день вручил Порошенко копии верительных грамот на имя действующего президента страны Виктора Ющенко. Назначение посла произошло еще в августе 2009 года, однако его приезд в Киев был отложен из-за ухудшения отношений между странами, в чем российское руководство обвиняет президента Украины.",Зурабов,Министр,False,False
"Ансамбль хорошо известен не только на родине, но и по всему миру. Он был создан профессором Московской консерватории, народным артистом СССР, композитором Александром Александровым, первое его выступление состоялось в 1928 году. Артисты неоднократно выезжали с концертами в горячие точки - Афганистан, Югославию, в последнее время - в Сирию.",Сирию,родине,False,False
"Перечень санкций, которые обязан применить американский президент, прописан в отдельной статье закона. Согласно CAATSA, в понедельник, 29 января, Госдепартамент должен также проинформировать конгресс об эффективности применения санкций, введенных ранее в отношении России в связи с ситуацией на Украине. Минфину и Госдепу также необходимо направить в конгресс отчет с описанием последствий введения санкций в отношении суверенного долга России, а также ""полного спектра производных инструментов"".",Госдепартамент,конгресс,False,False
"""Мы также пришли к выводу, что при формировании международных сил для Ливана должен соблюдаться тщательный и сбалансированный отбор с тем, чтобы войска ООН не становились на чью-либо сторону"", - сказал Хамид Албар. Кроме того, заявил он, ""национальный состав Временных сил ООН должен быть согласован с правительством Ливана"". Пока же, заметил малайзийский министр, ""дата начала отбора миротворцев в войска ООН не определена"".",войска ООН,Временных сил ООН,True,False
"Активисты Greenpeace в Мурманске в результате нападения вооруженных злоумышленников лишились клетки, которую планировали использовать для проведения протестной акции, связанной с судом над своими соратниками. Впрочем, инцидент на планы экологов не повлиял.",экологов,вооруженных злоумышленников,False,False
"Панель экспертов возглавил бывший глава авиастроительной корпорации Lockheed Martin Норман Огустин. Среди авторов доклада значатся главы крупнейших фирм, ученые и бывшие астронавты. Доклад опубликован на сайте NASA.",авторов доклада,ученые,False,False
"Напомним, Роман Гребенников в 2007 году выиграл выборы мэра Волгограда как представитель КПРФ, но довольно скоро перешел в ""Единую Россию"". Мирное сосуществование с партией власти продолжалось до июня 2010 года. Тогда Владимир Путин провел в Волгограде совещание, на котором подверг резкой критике городские власти за административные барьеры при оформлении строительной документации, после которого дал поручение прокуратуре провести проверку.","""Единую Россию""",партией власти,True,False
"Моторная лодка, на борту которой находились мэр Минусинска Анатолий Кекин и директор ООО ""Паритет"" Сергей Тонких, 27 июня около 21:00 (17:00 по московскому) вышла в район Хахалевской протоки Енисея на рыбалку. Рыбакам не удалось завести двигатель судна, и моторную лодку снесло на стоявший на рейде ниже по течению реки счал барж, передает РИА ""Новости"".",судна,моторную лодку,True,False
"Он добавил, что правоохранители также ставят вопрос о том, что необходимо более эффективно выявлять собственность и недвижимость, которая может пойти в погашение штрафа. ""К сожалению, приходится констатировать, что преступники прячут свое имущество лучше, чем правоохранители его ищут"", - заявил Иванов.",правоохранители,преступники,False,False
"Большинство жителей стран, входящих в НАТО, выступают за присоединение Украины к Альянсу (57%). Однако при этом многие из них (59%) против передачи Киеву оружия. 48% готовы поддержать один из важнейших принципов альянса, согласно которому союзники по НАТО должны оказывать друг другу поддержку в случае участия в военном конфликте одной из стран. 42% придерживаются противоположного мнения, свидетельствуют результаты опроса, проведенного американской независимой социологической компанией Pew Research Center.",союзники по НАТО,стран,True,False
"Ранее в понедельник сообщалось, что накануне вечером в милицию обратился мужчина и сообщил, что в одном из сетевых магазинов купил пакет сахара, в котором дома обнаружил вещество, похожее на ртуть. В общежитие, расположенное по адресу Фестивальная улица, дом 52, корпус 1, где проживает пострадавший, выехали эксперты. В комнатах и в коридоре седьмого этажа специалисты обнаружили пары ртути, превышающие допустимые нормы в 100 раз, сообщил РИА ""Новости"" источник в правоохранительных органах столицы.",пострадавший,мужчина,True,False
"ЧП произошло в субботу вечером. 14-летний юноша упал с пешеходного перехода над Киевским направлением Московской железной дороги в районе Веерной улицы. Во время падения школьник зацепился руками за контактный провод и получил сильнейший удар током. Очевидцы вызвали ""скорую помощь"", которая госпитализировала ребенка в состоянии шока в одну из детских больниц города.",ребенка,14-летний юноша,True,False
"Согласно материалам следствия, на которые ссылается Legal Report, вознаграждение топ-менеджеров ""РусГидро"" зависело от финансовых результатов компании, пишет РБК. Чтобы увеличить бонусы, Дод и Финкель не отразили в финансовой отчетности за 2013 год бумажные убытки на 12,4 млрд рублей от обесценивания 84,39% акций РАО ""Энергетические системы Востока"", 29,8% ""Якутскэнерго"" и 1,04% ""Дальневосточной энергетической компании"".",компании,"""РусГидро""",True,False
"- Суд над Ходорковским трижды заслушал одни и те же показания свидетеля обвинения
- Ходорковский и Лебедев убеждены, что допрос свидетелей не подтвердит версию прокуратуры",Ходорковский,свидетеля обвинения,False,False
"Стоит еще раз отметить, что Медведев обзаводится не простым блогом, а блогом в формате ""коммьюнити"" (""сообщество"") в ЖЖ. Этот формат предполагает, что в него вступают блоггеры, которым интересна тема данного сообщества. Так что в ""коммьюнити"" президента, судя по всему, будут состоять те, кому интересен глава государства. Так что посещаемость интернет-дневника Медведева обеспечена еще до его появления, отмечает ""Интерфакс"".","""коммьюнити"" президента",государства,False,False
"""Мы привязали снимки к картографической контрольной сетке, предоставленной Геологической службой США, на ее основе также была смоделирована оптика камеры. Этот подход позволил нам устранить все искажения, так что все черты поверхности расположены точно, с погрешностью лишь в несколько пикселей, и наша карта Марса - лучшая на сегодняшний момент"", - заявил руководитель проекта Филип Кристенсен.",поверхности,картографической контрольной сетке,False,False
"Но время шло, заводить дневники стало модным поветрием, в Сеть попали звезды шоу-бизнеса, литераторы, бизнесмены - и в каждом случае невозможно понять, сами ли они выкраивают драгоценное время, сочиняя и выкладывая тексты, либо над ними полностью трудятся помощники. В числе первых политиков, которые завели себе ""Живой журнал"", в основном были оппозиционеры - Никита Белых, Борис Немцов, Валерия Новодворская. А когда неожиданно для всех кандидатом в президенты в 2008 году стал лидер ДПР Андрей Богданов, ничего не знающие о нем журналисты бросились в его ЖЖ в поисках хоть какой-то информации (ник Богданова - bonych).",бизнесмены,первых политиков,False,False
