text,quest pronoun,variants,correct_answer,answer
"По версии следователей, одним из инициаторов рейдерской атаки на бизнес-империю Минеева выступил его топ-менеджер Борис Караматов, работавший в ""Евразии"" под подставным именем Борис Хамитов. Он вступил в сговор со своим родственником Дмитрием Куриленко, который представлялся генералом Службы внешней разведки в отставке и передвигался по Москве на Mercedes с ""блатным"" номером серии ""ВМР"".",Он,"['его топ-менеджер Борис Караматов', 'своим родственником Дмитрием Куриленко', 'Минеева']",1,1
"Вчера же следователи и оперативники провели более 30 обысков, в ходе которых ""были изъяты предметы и документы, имеющие значение для расследования"". Следственные действия проводились в офисах ""РусГидро"" и ""Квадры"", а также в московской квартире Дода, двух частных домах в поселке Немчиновке в Одинцовском районе и доме в поселке Пестово рядом с Мытищами, которые были записаны на близких к предпринимателю людей. Кроме того, следствие намерено проверить информацию о недвижимости Дода и его близких за границей - например, во Франции и Швейцарии, которая оформлена на офшорные компании. На всю эту недвижимость, а также счета предпринимателя в банках следствие рассчитывает наложить арест, чтобы компенсировать причиненный им ущерб.",им,"['следствие', 'предпринимателя', 'двух частных домах в поселке Немчиновке в Одинцовском районе']",2,2
"По данным прокуратуры, обвиняемые также похитили нефть дочерних акционерных обществ ОАО ""НК ЮКОС"": ОАО ""Самаранефтегаз"", ОАО ""Юганскнефтегаз"" и ОАО ""Томскнефть ВНК"" на сумму более 892,4 млрд рублей. Часть этих средств в размере 487,4 млрд рублей и 7,5 млрд долларов США они легализовали, утверждают следователи.",они,"['США', 'дочерних акционерных обществ ОАО ""НК ЮКОС""', 'обвиняемые']",3,3
"Однако Конашенков выразил готовность Минобороны России со своей стороны к ""объективному и конструктивному разговору с американскими партнерами в интересах нормализации ситуации на Украине"".",своей,"['Конашенков', 'Минобороны России', 'России']",2,2
"""Имеется также информация, - сообщил Никифоров, - что к убийству Михаила Маневича причастны граждане Колягин и Максимов, однако после совершения убийства вице-губернатора они были ликвидированы, проводится выявление цепочки причастных к ним лиц"". Представитель МВД подчеркнул, что он не может сказать, являются ли указанные лица непосредственными исполнителями преступлений. Вице-губернатор Санкт-Петербурга Михаил Маневич был расстрелян в служебном автомобиле по дороге на работу в августе 1997 года. Депутат Госдумы Галина Старовойтова убита в ноябре 1998 года в подъезде дома в Петербурге, где она проживала. Обвинения в совершении этих преступлений до сих пор никому не предъявлены.",ним,"['дома в Петербурге', 'граждане Колягин и Максимов', 'указанные лица']",2,2
"Первые подозрения относительно Кузнецова появились еще в 2008 году, когда у него заподозрили наличие паспорта гражданина США, что противоречило статусу госслужащего. В том же 2008-м чиновник ушел с поста и покинул страну, вскоре были возбуждены уголовные дела. Но в международный розыск Кузнецов был объявлен только осенью 2012 года. Оппозиционер Алексей Навальный полагает, что этому способствовала в том числе его деятельность по делу экс-министра и, в частности, письма в полицию. ""МВД и СК не сообщает, сколько времени ушло на то, чтобы заставить их внести Кузнецова в базу Интерпола, благодаря чему он и был задержан сегодня"", - написал Навальный в своем блоге на прошлой неделе.",своем,"['Навальный', 'МВД', 'Кузнецова']",1,1
"Утром в четверг Израиль предъявил руководству Палестинской национальной администрации ультиматум с требованием немедленно и безоговорочно арестовать и выдать ему убийц члена израильского кабинета министров. В ультиматуме также указывается, что вне закона должны быть объявлены все группировки, согласно израильским оценкам, причастные к террористической деятельности. Речь прежде всего идет о радикальных исламских организациях ХАМАС, ""Исламский джихад"" и ""Народный фронт освобождения Палестины"" (НФОП). Представители последнего взяли на себя ответственность за убийство Зееви.",себя,"['Представители последнего', 'последнего', 'Зееви']",1,1
"В конце июня в большом интервью ИТАР-ТАСС бывший министр финансов заявил, что правительство принимает решения, уменьшающие рост экономики, когда его надо поднимать. Тогда он также отметил, что дальнейшая эскалация конфликта на Украине и военное вмешательство в ситуацию на востоке этой страны может стоить россиянам до одной пятой их доходов в результате экономических санкций Запада и гонки вооружений. В России есть силы, которые желали бы изолировать страну от внешнего мира, однако представители бизнеса хотели бы продолжать работать и инвестировать на глобальных рынках.",его,"['рост экономики', 'Запада', 'правительство']",1,1
"Третьего февраля Даян направил в суд ходатайство с просьбой изменить условия содержания своего подзащитного. По словам Даяна, Бут более 14 месяцев (с тех пор, как он был экстрадирован в США из Таиланда в ноябре 2010 года) без имеющихся на то причин содержится в одиночной камере спецблока для особо опасных преступников, расположенной в Нижнем Манхэттене.",своего,"['просьбой', 'Даяна', 'суд']",2,2
"Собеседник издания, близкий к горадминистрации, рассказал, что в ней уже были совещания, на которых говорилось, что ""мы идем на выборы и пора готовиться к ним"". ""Все [в администрации Санкт-Петербурга] исходят из того, что губернатор идет на новый срок"", - пояснил источник.",ним,"['выборы', 'совещания', 'издания']",1,1
"Сторонников Трампа, ворвавшихся накануне в здание Капитолия, Байден призвал не называть ""протестующими"". ""Это не были протестующие. И даже не пытайтесь называть их протестующими, - сказал избранный президент США. - Это была банда погромщиков. Бунтовщиков. Террористов"". Байден также подверг резкой критике самого президента - своего соперника по президентским выборам, который так и не признал поражения. Избранный президент не стал прямо призывать к отставке Трампа, однако заявил, что многие его действия на посту главы государства подрывали демократические институты и служили только его личным целям. Байден, в частности, упомянул о том, что Трамп ""больше доверял Владимиру Путину"", чем сотрудникам американских спецслужб, по вопросу о российском вмешательстве в выборы.",своего,"['Владимиру Путину', 'Байден', 'Трампа']",2,2
"""Судовладелец прислал четырех сотрудников. Они на катере были доставлены на горящий пароход. Осмотрели его и убедились, что есть возможность перекрыть доступ газа, после чего перекрыли вентиль. Так что на танкере-газовозе ""Канди"" сейчас пожар не продолжается. На танкере ""Маэстро"" еще есть один небольшой очаг"", - рассказали РИА ""Новости"" в пресс-службе Росморречфлота. Обследованием судна займутся представители судовладельца.",его,"['горящий пароход', 'Росморречфлота', 'катере']",1,1
"До этого врачи никого, включая приехавших из Петербурга родственников, к солдату не пускали. В субботу Рудакова посетили отец, младшая сестра и бабушка его лучшего друга, ухаживавшая за ним.",ним,"['его лучшего друга', 'отец', 'Рудакова']",3,3
"Лидер ""Хамас"" Абдель Азиз ар-Рантиси также призвал своих соратников к совершению терактов против израильтян. ""Враг не уйдет безнаказанным, и израильтяне заплатят высокую цену"", - заявил ар-Рантиси, выразив надежду, что ""акты возмездия заставят израильтян убраться не только из сектора Газы, но и со всех оккупированных территорий"". ""Вы будете плакать не слезами, а кровью, и не избежите наказания за свои чудовищные преступления"", - говорится в обращении ар-Рантиси, которое цитирует телеканал FOX News.",своих,"['сектора Газы', '""Хамас""', 'Лидер ""Хамас"" Абдель Азиз ар-Рантиси']",3,3
"""По предварительной информации, на месте происшествия погиб один из пострадавших. Второй скончался в больнице 5-й медсанчасти. Помимо него было госпитализировано еще шесть человек. Двое из них в настоящее время оперируются. Жизнь оставшихся особых опасений не вызывает"", - сказал представитель Минздрава.",них,"['оставшихся', 'еще шесть человек', 'пострадавших']",2,2
"Как отмечает ""Газета GZT.ru"", сюжет новой серии иронично напоминает положение дел всей франшизы. Если первые две части принесли ""Шреку"" мировую популярность, задав, в принципе, новую планку мировой анимации, то сегодня создателям остается лишь грезить о былой славе. Собственно говоря, это и есть задача максимум для выходящего ""Шрека навсегда"" - либо он похоронит под собой успешные первые части, еще раз подтвердив теорию, что достойных продолжений - раз, два и обчелся, либо даст шанс DreamWorks оторваться на приквеле.",собой,"['успешные первые части', '""Шреку""', 'выходящего ""Шрека навсегда""']",3,3
"""Новый Кремль хочет показать, что намерен вернуть себе контроль за происходящим в регионах Северного Кавказа"", - согласен член совета Московского центра Карнеги Алексей Малашенко. Он предполагает, что с этим же была связана и недавняя замена премьера в Чечне: ""Рамзан Кадыров уволил с этой должности своего двоюродного брата Одеса Байсултанова, хотя никаких проблем между ними, насколько известно, не было, и произойти это могло только по сигналу из центра"".",Он,"['своего двоюродного брата Одеса Байсултанова', 'член совета Московского центра Карнеги Алексей Малашенко', 'Рамзан Кадыров']",2,2
"На днях Ирак при поддержке коалиции, возглавляемой США, начал штурм Мосула. По предварительным данным, численность иракских подразделений, задействованных в операции, превышает 60 тысяч человек. Поддержку им оказывают ВВС международной коалиции, правительственная авиация и артиллерия.",им,"['иракских подразделений', 'Мосула', 'Ирак']",1,1
"Руководство израильской полиции заявляет, что ему известны имена убийц Рахавама Зееви и тех, кто направил их на этот террористический акт. По некоторым данным, список имен уже передан палестинскому руководству и назначен крайний срок их выдачи - через семь дней. По данным РБК, палестинские власти арестовали сегодня трех членов ""Народного фронта освобождения Палестины"". По словам представителя НФОП, в Газе были арестованы участники политического крыла НФОП Раба Мухана, Юнис аль-Джарро и Хани Хабиб.",ему,"['""Народного фронта освобождения Палестины""', 'палестинскому руководству', 'Руководство израильской полиции']",3,3
"В ноябре 2017 года британский таблоид The Daily Mail сообщал, что Сталлоне был обвинен в изнасиловании 16-летней девушки, которое произошло в 1986 году в Лас-Вегасе. Со ссылкой на полицейский рапорт издание утверждало, что знаменитый актер пригласил потерпевшую в номер отеля Hilton, где принудил к совместному сексу с ним и его телохранителем Майклом ДеЛукой. В 2013 году ДеЛука был убит полицейскими в ходе конфликта после ДТП, когда он заявил, что у него при себе есть оружие.",ним,"['номер отеля Hilton', 'изнасиловании 16-летней девушки', 'знаменитый актер']",3,3
"Одну из жалоб подал активист движения ""Солидарность"" Илья Яшин, которому было отказано в регистрации из-за большого числа недостоверных подписей. Оспаривает отказ в регистрации и некий претендент на мандат Мосгордумы, который утверждает, что не является гражданином РФ, а живет в придуманной им стране. Этот человек представил на регистрацию собственноручно изготовленный паспорт. ЦИК передал жалобы в Мосгоризбирком, так как их обсуждение в его компетенции.",им,"['активист движения ""Солидарность"" Илья Яшин', 'Илья Яшин', 'Этот человек']",3,3
"""Позавчера была показана авторская программа Аркадия Мамонтова ""Специальный корреспондент"" под названием ""Лицедеи"". В ней Мамонтов утверждал, что геи и лесбиянки хотят уничтожить, как он выражается, нашу Россию. Звучали также оскорбительные высказывания в адрес ЛГБТ-сообщества"", - сказал ""Интерфаксу"" в четверг председатель организации Игорь Кочетков.",ней,"['организации', 'нашу Россию', 'авторская программа Аркадия Мамонтова ""Специальный корреспондент"" под названием ""Лицедеи""']",3,3
"Предполагается, что после завершения демонтажа двух подъездов дома будет проведена еще одна проверка всех оставшихся подъездов, по итогам которой будет принято решение о дальнейшей судьбе дома. Пока же жители пятого и шестого подъездов могут в течение нескольких дней зайти в квартиры за вещами, которые потребуются им на время работ по демонтажу двух соседних подъездов.",им,"['квартиры', 'вещами', 'жители пятого и шестого подъездов']",3,3
"Предполагаемое преступление, легшее в основу уголовного дела Кузнецова, а также его супруги, гражданки США Жанны Буллок, экс-замминистра финансов Московской области Владимира Носова, бывшего гендиректора ОАО, учрежденного правительством Московской области, ""Московская областная трастовая компания"" Владислава Телепнева и экономиста ООО ""НЭС-Финанс"", сестры министра Елены Кузнецовой, совершалось с 2005 года. Группа приобрела у ряда предприятий ЖКХ права требования задолженностей к муниципальным образованиям области на сумму свыше 3,5 млрд рублей, затем перепродала коммерческому банку, который обратился за выплатами к главам муниципальных образований. Те, не имея денег, взяли у банка кредиты, которые позже были погашены, по распоряжению Кузнецова, из бюджета области.",его,"['экономиста ООО ""НЭС-Финанс"", сестры министра Елены Кузнецовой', 'бывшего гендиректора ОАО, учрежденного правительством Московской области, ""Московская областная трастовая компания"" Владислава Телепнева', 'Кузнецова']",3,3
"Подтвердить информацию о связях Куриленко с российскими спецслужбами не удалось. Однако известно, что он долгое время проживал в Сирии, где занимался организацией пребывания в этой стране VIP-персон. Там же появлялись бизнесмен Михаил Некрич и Георгий Шуппе, которых следователи считают организаторами покушения на Минеева. Когда в Сирии началась война, ""разведчик"" вернулся в Россию. Он ходил в тренажерные залы, в одном из которых борьбу преподавал уроженец дагестанского села Гимры Омар Сулейманов. На малой родине его знают как человека, связанного с гимринской бандгруппой. Именно на имя Омара Сулейманова злоумышленники в итоге перерегистрировали ООО ""Евразия"", которое принадлежало Александру Минееву.",он,"['бизнесмен Михаил Некрич', 'Куриленко', '""разведчик""']",3,3
"Корреспондент ""Коммерсанта"" Андрей Колесников отметил, что ""тон послания был пока каким-то нарочито сдержанным, без особых восклицательных знаков"". ""В своем послании к Федеральному собранию Владимир Путин сосредоточился на свободах, а не на угрозах"", - заключил журналист. В качестве примера автор статьи приводит обращение президента к деятелям культуры с призывом быть сдержаннее в спорах, в ходе которого Путин подчеркнул, что ""и в культуре, и в политике, в средствах массовой информации и в общественной жизни, в полемике по экономическим вопросам никто не может запретить свободно мыслить и открыто высказывать свою позицию"".",своем,"['Владимир Путин', 'Федеральному собранию', 'Корреспондент ""Коммерсанта"" Андрей Колесников']",1,1
"Байдена также поздравили бывшие президенты США Барак Обама, Билл Клинтон и Джимми Картер. ""Нам повезло, что у Джо есть все, что нужно, чтобы быть президентом, и он уже ведет себя таким образом"", - говорится в заявлении Обамы, при котором Байден был вице-президентом. По словам 44-го президента США, с приходом в Белый дом Байден столкнется ""с рядом чрезвычайных проблем, с которыми никогда не сталкивался новый президент"", в их числе пандемия коронавируса, ""неравноправная экономика и система правосудия"", угрозы демократии и климатические изменения.",он,"['Джимми Картер', 'Джо', 'Обамы']",2,2
"Заместитель Генерального прокурора России Василий Колмогоров сегодня заявил, что он ездил в Мадрид ""встретиться, в первую очередь, с руководителями испанской юстиции и, кроме того, отвезти в Испанию некоторые документы по делу Гусинского"". По словам Колмогорова, вернувшегося из командировки в Москву в четверг утром, он ""удовлетворен результатами поездки, которая позволила снять ряд вопросов"".",он,"['Гусинского', 'Заместитель Генерального прокурора России Василий Колмогоров', 'Генерального прокурора России']",2,2
"Но не один Березовский, по Мамонтову, стремится разрушить российское государство, подобно либералам начала ХХ века - через церковь. Также в фильме было процитировано некое анонимное письмо об атаке на церковь, которая планировалась еще с 2008 года. Девушка, имеющая отношение к шоу-бизнесу, прислала этот документ, в котором упоминался бывший продюсер группы ""Тату"" Иван Шаповалов. Речь шла о проекте на некую религиозную тему, против православия и Путина. Заказчиками его были ""какие-то американцы"", которые хотели воздействовать на молодежь и вести ее за собой, зомбированную, как стадо баранов.",его,"['этот документ', 'проекте на некую религиозную тему, против православия и Путина', 'фильме']",2,2
"По данным МВД, потерпевший с 2012 по 2017 год проходил службу в одном из подразделений столичного управления полиции. В октябре 2017 года ему позвонил подозреваемый, с которым он был знаком ранее, и потребовал 300 тысяч рублей, угрожая выложить личные фотографии полицейского в общий доступ в интернете. ""После того как заявитель отказался выплатить обозначенную сумму, дискредитирующие его фотографии были опубликованы в группе и стали доступны широкому кругу лиц"", - сказал Васенин.",он,"['полицейского', 'одном из подразделений столичного управления полиции', 'потерпевший']",1,3
"Напомним, сенсационное заявление Лукашенко о поимке шпиона было сделано им в минувшую пятницу, как бы между делом, во время посещения строящегося в Минске аквапарка. Глава страны излагал журналистам свои оценки дела беглого американского экс-агента ЦРУ Эдварда Сноудена, и попутно заявил, что в рядах белорусских спецслужб обнаружен свой ""предатель"", сотрудничавший с иностранными государствами ""через представителей Католической церкви"". Задержанный, по словам президента, ""не только сдавал информацию, но из-за его деятельности пострадали люди, которые работают за границей"".",им,"['Минске', 'шпиона', 'Лукашенко']",3,3
"Сразу после этого Белый дом поспешил заявить, что Буш с оскандалившимся лоббистом не знаком. ""Президент не помнит, чтобы с ним встречался. Однако... нас не удивит, если президент с ним пересекался на каком-либо крупном приеме, который они оба посетили. На таких мероприятиях президент позирует для сотен, если не тысяч, фотографий"", - заявил в воскресенье пресс-секретарь Белого дома Дана Перино.",ним,"['оскандалившимся лоббистом', 'Буш', 'пресс-секретарь Белого дома Дана Перино']",1,1
"Отмечается, что ранее в социальных сетях его сыном было опубликовано видео, где да Силва ездит верхом на пони по имени Пикулито, при этом чрезмерно дергает поводьями, причиняя лошади боль. Также решением трибунала было установлено, что за пони бежала собака, причиняя животному стресс на фоне испытываемых болезненных ощущений, а сам да Силва был слишком тяжел для лошади.",его,"['да Силва', 'видео', 'пони по имени Пикулито']",1,1
"По его словам, неизвестный, используя ссору знакомого с уроженцами одной из республик Северного Кавказа как повод, провоцировал своими обращениями пользователей одной из социальных сетей на совершение ""противоправных действий в отношении лиц неславянской внешности"". При этом сам знакомый, якобы пострадавший от действий кавказцев, в правоохранительные органы с заявлением не обращался, отметил представитель главка.",своими,"['пользователей одной из социальных сетей', 'неизвестный', 'уроженцами одной из республик Северного Кавказа']",2,2
"По его словам, в ноте говорится, что с 3 сентября посольство РФ в Грузии должно прекратить свою работу. В ближайшие дни российские дипломаты покинут Тбилиси, отметил советник-посланник. Он назвал этот шаг ""ошибкой со стороны грузинского руководства"".",свою,"['Грузии', 'посольство РФ в Грузии', 'РФ']",2,2
"Кроме того, Киселев высказал мнение, что Минпечати РФ в этом вопросе ""должно занимать более активную и последовательную позицию"". ""Интерес государства состоит в том, чтобы защитить канал и его сеть. Чтобы зрители продолжили смотреть свои любимые передачи, фильмы и сериалы"", - считает Киселев.",его,"['государства', 'Минпечати РФ', 'канал']",3,3
"В Правительстве России началось обсуждение проекта приказа Минздрава, согласно которому все автошколы должны в обязательном порядке проводить занятия, на которых будущим водителям будет рассказываться о вреде алкоголя и наркотиков, пишет ""Коммерсант"".",которому,"['Правительстве России', 'проекта приказа Минздрава', 'Минздрава']",2,2
"Отметим, что у Софи есть шанс стать потомственной моделью Playboy, так как ее мать Санди тоже снималась в свое время для этого мужского журнала и работала в клубе Playboy. Кроме того, героиней Софи всегда была Мэрилин Монро, одна из первых моделей Playboy.",свое,"['клубе Playboy', 'ее мать Санди', 'Софи']",2,2
"Недвижимость была оформлена на 18 компаний, которые управлялись офшорами на Белизе и Сейшельских островах. Изначально на захват недвижимости Шуппе и Некрич выделили порядка трех миллионов долларов, но позже сумма увеличилась вдвое. 500 тысяч долларов пошло на подкуп юриста Юлии Егоровой, которая была номинальным директором четырех офшорных структур, владевших 18 фирмами Минеева. Она должна была поставить свои подписи на документах о смене собственников.",свои,"['собственников', 'Минеева', 'юриста Юлии Егоровой']",3,3
"Правительства южноамериканских выступили с поддержкой президента Эквадора Рафаэля Корреа и критикой действий повстанцев. Венесуэльский президент Уго Чавес обвинил протестующих в ""попытке свергнуть президента Корреа"". По его словам, ""действия повстанцев скоординированы и не имеют под собой экономической основы, а направлены на свержение законно избранного президента страны"". Вице-президент Колумбии Анхелино Гарсон заявил, что ""в Боготе признают только легитимное правительство Эквадора, возглавляемое Корреа"". В МИД Аргентины выразили ""глубокую обеспокоенность в связи с акциями протеста и высказались поддержку конституционно избранного президента"". Президент Перу Алан Гарсия заявил, что страны Южной Америки намерены защитить стабильность в Эквадоре. При этом он объявил о ""закрытии государственной границы с Эквадором в связи с кризисом"".",его,"['Венесуэльский президент Уго Чавес', 'Президент Перу Алан Гарсия', 'президента Корреа']",1,1
"Напомним, ""Газпром"" ранее объявил о планах построить подводный газопровод в Крым, а также принять участие в тендере на приватизацию местной энергетической компании. В апреле представитель администрации США сообщил, что санкции затронут ""Газпром"" в случае приобретения части ""Черноморнефтегаза"" - компании, национализированной правительством Республики Крым накануне присоединения к России - или заключения сделок с ним.",ним,"['США', 'компании', '""Газпром""']",2,2
"В интервью журналистам он сказал, что ""значительная часть якобы подписантов это не подписывала"". ""Возмутителен тот факт, что в списке подписантов значится председатель регионального объединения организации независимых профсоюзов России, который, земля ему пухом, умер два года назад. Написано, что Жансурат Аушева - председатель Союза журналистов Ингушетии, но она не занимает эту должность уже два года"", - сказал пресс-секретарь главы Ингушетии Иса Мержоев.",она,"['Жансурат Аушева', 'Ингушетии', 'России']",1,1
"Накануне после встречи с президентом Израиля Моше Кацавом Ольмерт отметил: ""Надеюсь, что после выборов в Палестинской автономии и выборов в Израиле мы сможем начать переговоры с Абу Мазеном при условии выполнения им своих обязательств и прийти к соглашению об окончательном урегулировании"". Говоря об Аббасе, Ольмерт, в частности, отметил: ""Было бы ошибкой освобождать его от обязательств, которые он взял на себя в рамках ""Дорожной карты"" и не требовать от него снова и снова начинать борьбу с террором и разоружения боевиков"".",своих,"['Абу Мазеном', 'Ольмерт', 'Израиле']",1,1
"Мелания Трамп пригрозила подать в суд на основанную гражданином США языковую школу в столице Хорватии Загребе за то, что та использовала ее образ для рекламы своих курсов. Фотография бывшей модели, ставшей первой леди США, сопровождалась на рекламных щитах надписью ""Просто представьте, как далеко вы сможете пойти, совсем чуть-чуть освоив английский"".",та,"['Хорватии', 'языковую школу в столице Хорватии Загребе', 'бывшей модели']",2,2
"Турецкое телевидение ранее демонстрировало записи камер видеонаблюдения, на которых видно, как Хашогги заходит в консульство, на фото и видео также попало прибытие в Турцию предполагаемого ""отряда убийц"" журналиста из 15 человек, которых в стране считают сотрудниками саудовской разведки. По данным СМИ, отряд прибыл в Стамбул за несколько часов до исчезновения Хашогги и отбыл вскоре после него, при этом в команде был полковник саудовской разведки Махер Мутреб, а также патологоанатом.",него,"['Хашогги', 'исчезновения Хашогги', 'Стамбул']",2,1
"Когда фотограф продал снимки агентству Caters, техноблог Techdirt поставил под сомнение эксклюзивность права Слейтера и агентства на фотографии. В WikiMedia также посчитали, что, поскольку обезьяна не является носителем авторского права, сделанные ей автопортреты следует считать общественным достоянием. После получения претензий Слейтер изменил свои показания и начал настаивать на том, что специально оставил фотоаппарат в надежде, что тот привлечет обезьян и они попытаются нажать на спуск. По его мнению, из этого следует, что задумка серии снимков принадлежит ему, как и авторское право.",свои,"['агентства', 'Слейтер', 'обезьяна']",2,2
"Президент Эстонии Тоомас Хендрик Ильвес ""исключил"" из Европы Калининград, а также Латвию и Литву. Среди стран Балтии Эстония была единственной страной, в которой не было власти посткоммунистов - отчасти поэтому только про нее из бывших советских республик можно сказать, что она вошла в западное культурное пространство.",нее,"['Эстония', 'Литву', 'Латвию']",1,1
"Он подчеркнул, что строительство с помощью России иранской АЭС - ""не столько коммерческий, сколько политический проект"", именно Бушер по его словам является реальным якорем, который удерживает Иран в режиме нераспространения ядерного оружия"". Выражая свое мнение в отношении проекта резолюции ""евротройки"" по Бушеру, Лавров отметил, что в нем ""есть подтекст - мол, поддержите нас по всем вопросам, и мы вам позволим достроить Бушер. Нам этого не надо"".",свое,"['Лавров', 'России', 'Бушеру']",1,1
"Смертина и Алдонина наставник россиян, скорее всего, с первых же минут использует в центре поля. Дмитрий Лоськов должен начать игру на позиции диспетчера, так как в команде Газзаева равноценной замены ему пока нет. На правом фланге полузащиты сыграет Ролан Гусев, который после ухода из сборной Валерия Карпина стал единственным достойным кандидатом на этой позиции. На левом фланге у Газзаева есть Каряка, и Соломатин, которые достойны участия в матче в равной степени. Из трех отличных нападающих: Семака и Бесчастных и Кержакова, Газзаеву нужно будет выбрать двоих. Между тем, все билеты на этот матч уже проданы. Стадион в Шкодере вмещает всего около 16 тысяч зрителей и обладает лучшим в Албании травяным газоном.",ему,"['диспетчера', 'Газзаева', 'Дмитрий Лоськов']",3,3
"Премьер-министр Израиля Эхуд Барак продлил срок ультиматума, в котором содержится требование к палестинцам прекратить насилие на своих территориях и заявил о своей готовности принять участие в саммите по урегулированию нового конфликта на Ближнем Востоке, если таковой состоится.",своих,"['палестинцам', 'Израиля', 'Премьер-министр Израиля Эхуд Барак']",1,1
"Как рассказал адвокат Сайпса, его клиент подрабатывает в клубе Delilah, хотя его основное занятие - модельный бизнес. В тот вечер Сайпс не работал, а зашел в клуб за своей девушкой - 21-летней Instagram-моделью Соммер Рэй (ФОТО). Рэй весь вечер находилась в VIP-зоне клуба, болтая с Оделлом Бекхэмом-младшим. Когда Сайпс пришел, чтобы забрать Рэй, то Оделл наглядно показал ему, что совсем этому не рад. Что произошло дальше, неясно. Но когда гости уходили, Сайпс что-то сказал, чем моментально вывел из себя Юнеса Бенджиму.",его,"['Юнеса Бенджиму', 'адвокат Сайпса', 'его клиент']",3,2
